level,-kappa-0.01_pressure_bar,-kappa-0.01_NH3_mean,-kappa-0.01_NH3_std,-kappa-0.01_NH3_s__mean,-kappa-0.01_NH3_s__std,-kappa-0.01_NH3_s_p__mean,-kappa-0.01_NH3_s_p__std,-kappa-0.1_pressure_bar,-kappa-0.1_NH3_mean,-kappa-0.1_NH3_std,-kappa-0.1_NH3_s__mean,-kappa-0.1_NH3_s__std,-kappa-0.1_NH3_s_p__mean,-kappa-0.1_NH3_s_p__std,-kappa-1.0_pressure_bar,-kappa-1.0_NH3_mean,-kappa-1.0_NH3_std,-kappa-1.0_NH3_s__mean,-kappa-1.0_NH3_s__std,-kappa-1.0_NH3_s_p__mean,-kappa-1.0_NH3_s_p__std
30,37.33992856375,0.002527191973058507,1.715315460245614e-06,0.0,0.0,0.0,0.0,37.34128465,0.002528954134322703,1.893559691053591e-06,0.0,0.0,0.0,0.0,37.346329286250004,0.002533325077267364,2.2155802992251534e-06,0.0,0.0,0.0,0.0
31,35.965718790000004,0.0025271985079161822,1.7467701157216586e-06,0.0,0.0,0.0,0.0,35.9670394875,0.0025289118777727707,1.8758632616349187e-06,0.0,0.0,0.0,0.0,35.972126235000005,0.0025333075241651386,2.2117492171725873e-06,0.0,0.0,0.0,0.0
32,34.62801758375,0.002527206765371375,1.7616202413774756e-06,0.0,0.0,0.0,0.0,34.6293047675,0.002528861693572253,1.8427265672667375e-06,0.0,0.0,0.0,0.0,34.6344242575,0.002533288100617938,2.2025869182364637e-06,0.0,0.0,0.0,0.0
33,33.32623632375,0.0025272123188478874,1.7821251968784204e-06,0.0,0.0,0.0,0.0,33.32749229125,0.0025288159981137143,1.8228729562157368e-06,0.0,0.0,0.0,0.0,33.3326370675,0.0025332788858795537,2.191153852037083e-06,0.0,0.0,0.0,0.0
34,32.05978985,0.0025272112174425272,1.8146774523595904e-06,0.0,0.0,0.0,0.0,32.06101685625,0.002528787183109671,1.8390927578922082e-06,0.0,0.0,0.0,0.0,32.06617986,0.002533275234163739,2.183468033287892e-06,0.0,0.0,0.0,0.0
35,30.828096272499998,0.0025272061937721448,1.8459126624882331e-06,0.0,0.0,0.0,0.0,30.82929670125,0.002528779785265215,1.8727034375156755e-06,0.0,0.0,0.0,0.0,30.83447098625,0.0025332632408244537,2.1789349618485793e-06,0.0,0.0,0.0,0.0
36,29.630576542500002,0.0025272138863801957,1.8813260803590651e-06,0.0,0.0,0.0,0.0,29.631752687499997,0.0025287832154426725,1.906893186428034e-06,0.0,0.0,0.0,0.0,29.6369320325,0.0025332381774205714,2.1746889233997e-06,0.0,0.0,0.0,0.0
37,28.46665716375,0.002527238775859587,1.9127709204164934e-06,0.0,0.0,0.0,0.0,28.4678095375,0.0025287876713555304,1.9419169793212587e-06,0.0,0.0,0.0,0.0,28.4729869225,0.002533212882000953,2.173064044637918e-06,0.0,0.0,0.0,0.0
38,27.33576470125,0.002527269382146187,1.934441093627516e-06,0.0,0.0,0.0,0.0,27.33689541875,0.002528793785138987,1.9812228516118095e-06,0.0,0.0,0.0,0.0,27.342064617499997,0.0025332052473677324,2.1787408801747726e-06,0.0,0.0,0.0,0.0
39,26.237330809999996,0.0025273026959039273,1.9540566841109067e-06,0.0,0.0,0.0,0.0,26.23844129125,0.002528805616311729,2.0244341019737516e-06,0.0,0.0,0.0,0.0,26.24359622875,0.0025332158831879495,2.1888030035623753e-06,0.0,0.0,0.0,0.0
40,25.170789946249997,0.0025273415490519257,1.9882864407960645e-06,0.0,0.0,0.0,0.0,25.171882285000002,0.002528826261986978,2.075084273030665e-06,0.0,0.0,0.0,0.0,25.177016515000002,0.002533230232540518,2.196548488406165e-06,0.0,0.0,0.0,0.0
41,24.1355798275,0.0025273803001036868,2.039032742289182e-06,0.0,0.0,0.0,0.0,24.136656481249997,0.0025288579341722654,2.140290824124643e-06,0.0,0.0,0.0,0.0,24.141763576250003,0.0025332379188621416,2.2017625762170315e-06,0.0,0.0,0.0,0.0
