level,-kappa-0.01_pressure_bar,-kappa-0.01_theta_mean,-kappa-0.01_theta_std,-kappa-0.1_pressure_bar,-kappa-0.1_theta_mean,-kappa-0.1_theta_std,-kappa-1.0_pressure_bar,-kappa-1.0_theta_mean,-kappa-1.0_theta_std
48,17.72299149900625,164.90580607933043,0.01319068981670858,17.72341425279375,164.90657661895753,0.013106435293408025,17.7273641544875,164.92825931350708,0.011746594684884187
49,16.91865216633125,164.9057143952179,0.013825439432394502,16.919069731875,164.90652606986998,0.013646140661813683,16.922971273281252,164.9281643196106,0.012328870572523682
50,16.140731694956248,164.90563511131288,0.014568986063702199,16.1411437815625,164.90646407585143,0.014262215512582095,16.144994017600002,164.92806812309266,0.012973048769602483
51,15.38870253059375,164.9055556929779,0.015427865062188361,15.389108719887501,164.90639671585083,0.014954939881829171,15.392904926993749,164.92797549972533,0.01370017433693839
52,14.66204050586875,164.9054558366394,0.01641539309588416,14.662440496168749,164.90631853897094,0.015768413482871956,14.6661800635375,164.9278813645935,0.01457005103038796
53,13.960225006531251,164.90534293441772,0.01757281160764023,13.960618569237498,164.90623100852966,0.01675327290850497,13.964299144456248,164.9277760077667,0.015603566476795396
54,13.2827390376125,164.90518449111937,0.0188858099069832,13.283125888381251,164.90610292274476,0.017952004297665938,13.2867452312375,164.92763618820192,0.01675219949467576
55,12.62906906195,164.90499949012755,0.020419177841063847,12.629449200706249,164.90593552444457,0.01944157741225537,12.633005067456251,164.92747004302979,0.01807043991895476
56,11.9987050782875,164.90465209983824,0.022289634764048542,11.999078206518751,164.90557477790833,0.021326405037235336,12.0025688157875,164.92719080299378,0.019665952519895023
57,11.39114036186875,164.90421740837098,0.024711229555739168,11.391506401387499,164.9051250691223,0.02379319838160915,11.394930070081251,164.92680105880737,0.021729847149539523
58,10.805871435418752,164.9032750178528,0.02791500306378746,10.8062301805375,164.9041152508545,0.026970570260836907,10.80958557115,164.92602209213257,0.024521186853159398
59,10.242398262771875,164.902114577713,0.032512765962926626,10.242749476190625,164.90290450950621,0.03135177805778026,10.24603529431875,164.92485463569642,0.028493630360958994
60,9.700223151031249,164.89915372520446,0.03939068113315749,9.70056663438125,164.89994465301513,0.03762998617840126,9.703782197809375,164.92231159095763,0.034451977061038884
61,9.17885387644375,164.89501836395263,0.051333772972430365,9.17918905103125,164.8959162174225,0.04840536757095217,9.182333377571876,164.91778471588134,0.04447339050014485
62,8.677801979275,164.88339526863098,0.07271131814432327,8.67812745851875,164.88505965766907,0.06720692409519832,8.681201443075,164.90792315872193,0.062455506872635985
63,8.1966290767,164.87626371429442,0.12454517778914775,8.19693892679375,164.8788514211273,0.11394121859371323,8.199941599946875,164.8998248775482,0.10436440748134836
64,7.735084595315625,164.83755590927123,0.24827626109349551,7.7353745357250006,164.85286360313415,0.23191994182327066,7.7383043931531255,164.88412565635682,0.21306570647832937
65,7.293456153825,164.5406820991516,0.4549675452180486,7.293745138259375,164.57351205703736,0.45172491088629363,7.2965922528,164.6348683229065,0.4156876758372091
66,6.871553521178125,163.56121317077637,0.4683373032802847,6.871862889859375,163.60176629501342,0.4704830041648876,6.874638347403125,163.68401775436402,0.45807333190753785
67,6.468133067040625,162.74375065887452,0.34424819947562674,6.4684668536593755,162.77833164901733,0.3518266095535106,6.4712084179,162.86372380645753,0.3434626124013116
68,6.082149672278125,162.33479106292725,0.21454587488611632,6.082501211603126,162.35527141937257,0.22504354168211677,6.085219128790625,162.4303810418701,0.2234464198823034
69,5.713005908175,162.1557249659729,0.13072857902947607,5.713362967687499,162.1639132911682,0.139099688354405,5.716052059668749,162.22896923950196,0.14598888026529622
70,5.360224373259376,162.077001771698,0.0851291877579896,5.3605802189125,162.0802283066559,0.09202664117065594,5.3632278106593745,162.1338736867523,0.10125354140598467
71,5.023342270734375,162.04266243377685,0.06214750071064692,5.023694923190625,162.0452099242401,0.06836366642453756,5.026287507517187,162.08892708992005,0.0774789154238252
72,4.701905851226562,162.02873733177185,0.05137867029971467,4.702255738595313,162.032169169693,0.05854121369276865,4.704781094760937,162.0676752381134,0.06608820226219263
73,4.395469979665625,162.02412868858337,0.04773568335689313,4.395819430545313,162.02974000343323,0.057973243815399374,4.398266055482813,162.05743767662048,0.06170334498099686
74,4.103597777798438,162.02370901565553,0.04782614857173388,4.103950498367188,162.03249038032533,0.0631267881178482,4.106307241859375,162.05243174545288,0.060855312789341066
75,3.8258598350078126,162.02552834449767,0.04978997167964117,3.8262197841109375,162.03741933067323,0.07023747172467508,3.8284765424859373,162.05037867355347,0.06149099720268456
76,3.5618332829015626,162.02866918571473,0.05318038739979706,3.5622035121734377,162.0434211680603,0.0777333735113634,3.5643522310234372,162.0501413923645,0.06279066786556144
