pressure_bar,temperature_K,H2O_D1mm_timescale_s,H2O_D2mm_timescale_s,H2O_D5mm_timescale_s,H2O_D10mm_timescale_s,NH3_D1mm_timescale_s,NH3_D2mm_timescale_s,NH3_D5mm_timescale_s,NH3_D10mm_timescale_s
2.21977452e-01,1.06446740e+02,8.76170849e+17,3.50468340e+18,2.19042712e+19,8.76170849e+19,3.16110324e+08,1.26444130e+09,7.90275810e+09,3.16110324e+10
2.25945978e-01,1.06987035e+02,6.55533843e+17,2.62213537e+18,1.63883461e+19,6.55533843e+19,2.64292358e+08,1.05716943e+09,6.60730894e+09,2.64292358e+10
2.29985453e-01,1.07530073e+02,4.91195743e+17,1.96478297e+18,1.22798936e+19,4.91195743e+19,2.21182203e+08,8.84728811e+08,5.52955507e+09,2.21182203e+10
2.34097146e-01,1.08075867e+02,3.68607299e+17,1.47442920e+18,9.21518248e+18,3.68607299e+19,1.85282022e+08,7.41128088e+08,4.63205055e+09,1.85282022e+10
2.38282349e-01,1.08624431e+02,2.77025563e+17,1.10810225e+18,6.92563907e+18,2.77025563e+19,1.55357350e+08,6.21429401e+08,3.88393376e+09,1.55357350e+10
2.42542374e-01,1.09175779e+02,2.08506248e+17,8.34024993e+17,5.21265621e+18,2.08506248e+19,1.30389810e+08,5.21559240e+08,3.25974525e+09,1.30389810e+10
2.46878561e-01,1.09729926e+02,1.57165915e+17,6.28663661e+17,3.92914788e+18,1.57165915e+19,1.09538486e+08,4.38153945e+08,2.73846215e+09,1.09538486e+10
2.51292270e-01,1.10286885e+02,1.18640916e+17,4.74563663e+17,2.96602289e+18,1.18640916e+19,9.21083443e+07,3.68433377e+08,2.30270861e+09,9.21083443e+09
2.55784888e-01,1.10846672e+02,8.96900426e+16,3.58760170e+17,2.24225106e+18,8.96900426e+18,7.75243814e+07,3.10097525e+08,1.93810953e+09,7.75243814e+09
2.60357825e-01,1.11409300e+02,6.79022845e+16,2.71609138e+17,1.69755711e+18,6.79022845e+18,6.53104505e+07,2.61241802e+08,1.63276126e+09,6.53104505e+09
2.65012517e-01,1.11974783e+02,5.14815689e+16,2.05926276e+17,1.28703922e+18,5.14815689e+18,5.50718976e+07,2.20287590e+08,1.37679744e+09,5.50718976e+09
2.69750426e-01,1.12543137e+02,3.90879799e+16,1.56351920e+17,9.77199498e+17,3.90879799e+18,4.64813099e+07,1.85925240e+08,1.16203275e+09,4.64813099e+09
2.74573040e-01,1.13114376e+02,2.97204645e+16,1.18881858e+17,7.43011612e+17,2.97204645e+18,3.92668087e+07,1.57067235e+08,9.81670218e+08,3.92668087e+09
2.79481873e-01,1.13688514e+02,2.26300616e+16,9.05202463e+16,5.65751539e+17,2.26300616e+18,3.32024225e+07,1.32809690e+08,8.30060563e+08,3.32024225e+09
2.84478466e-01,1.14265566e+02,1.72556187e+16,6.90224750e+16,4.31390468e+17,1.72556187e+18,2.81001636e+07,1.12400655e+08,7.02504091e+08,2.81001636e+09
2.89564388e-01,1.14845548e+02,1.31761003e+16,5.27044010e+16,3.29402507e+17,1.31761003e+18,2.38035013e+07,9.52140054e+07,5.95087534e+08,2.38035013e+09
2.94741237e-01,1.15428473e+02,1.00751544e+16,4.03006176e+16,2.51878860e+17,1.00751544e+18,2.01819800e+07,8.07279201e+07,5.04549500e+08,2.01819800e+09
3.00010638e-01,1.16014357e+02,7.71475115e+15,3.08590046e+16,1.92868779e+17,7.71475115e+17,1.71267776e+07,6.85071106e+07,4.28169441e+08,1.71267776e+09
3.05374246e-01,1.16603214e+02,5.91554100e+15,2.36621640e+16,1.47888525e+17,5.91554100e+17,1.45470369e+07,5.81881477e+07,3.63675923e+08,1.45470369e+09
3.10833744e-01,1.17195061e+02,4.54220058e+15,1.81688023e+16,1.13555015e+17,4.54220058e+17,1.23668321e+07,4.94673284e+07,3.09170802e+08,1.23668321e+09
3.16390848e-01,1.17789912e+02,3.49248392e+15,1.39699357e+16,8.73120980e+16,3.49248392e+17,1.05226587e+07,4.20906347e+07,2.63066467e+08,1.05226587e+09
3.22047302e-01,1.18387781e+02,2.68903080e+15,1.07561232e+16,6.72257701e+16,2.68903080e+17,8.96135461e+06,3.58454184e+07,2.24033865e+08,8.96135461e+08
3.27804882e-01,1.18988686e+02,2.07322959e+15,8.29291836e+15,5.18307398e+16,2.07322959e+17,7.63837683e+06,3.05535073e+07,1.90959421e+08,7.63837683e+08
3.33665397e-01,1.19592641e+02,1.60061285e+15,6.40245139e+15,4.00153212e+16,1.60061285e+17,6.51637123e+06,2.60654849e+07,1.62909281e+08,6.51637123e+08
3.39630686e-01,1.20199661e+02,1.23739829e+15,4.94959316e+15,3.09349573e+16,1.23739829e+17,5.56398527e+06,2.22559411e+07,1.39099632e+08,5.56398527e+08
3.45702623e-01,1.20809762e+02,9.57886575e+14,3.83154630e+15,2.39471644e+16,9.57886575e+16,4.75488092e+06,1.90195237e+07,1.18872023e+08,4.75488092e+08
3.51883114e-01,1.21422960e+02,7.42501076e+14,2.97000430e+15,1.85625269e+16,7.42501076e+16,4.06691366e+06,1.62676546e+07,1.01672841e+08,4.06691366e+08
