level,-kappa-0.01_pressure_bar,-kappa-0.01_H2O_mean,-kappa-0.01_H2O_std,-kappa-0.01_H2O_l__mean,-kappa-0.01_H2O_l__std,-kappa-0.01_H2O_l_p__mean,-kappa-0.01_H2O_l_p__std,-kappa-0.1_pressure_bar,-kappa-0.1_H2O_mean,-kappa-0.1_H2O_std,-kappa-0.1_H2O_l__mean,-kappa-0.1_H2O_l__std,-kappa-0.1_H2O_l_p__mean,-kappa-0.1_H2O_l_p__std,-kappa-1.0_pressure_bar,-kappa-1.0_H2O_mean,-kappa-1.0_H2O_std,-kappa-1.0_H2O_l__mean,-kappa-1.0_H2O_l__std,-kappa-1.0_H2O_l_p__mean,-kappa-1.0_H2O_l_p__std
38,27.33576470125,0.02497453732881695,6.781012866412398e-05,0.0,0.0,1.585076179205776e-25,3.324706276840565e-24,27.33689541875,0.024951490273699164,7.252976693080976e-05,0.0,0.0,2.9891338685171774e-26,1.6755664363159408e-25,27.342064617499997,0.024944100592285395,6.775468739364354e-05,0.0,0.0,1.8608396883545187e-25,3.3685733218608205e-24
39,26.237330809999996,0.024973312072455883,6.9514778431963e-05,0.0,0.0,1.7135850931466845e-24,3.345964451654114e-23,26.23844129125,0.024950881864875554,7.485479252155794e-05,0.0,0.0,3.6687346430104184e-25,1.9943311624434102e-24,26.24359622875,0.02494385680463165,6.622923833283432e-05,0.0,0.0,2.0349601057696616e-24,3.550497888663766e-23
40,25.170789946249997,0.024971843676641584,7.117711495244391e-05,0.0,0.0,1.8410814248126296e-23,3.315604167802325e-22,25.171882285000002,0.024950139151886104,7.681221394472809e-05,0.0,0.0,4.4357068681314474e-24,2.3401321106041053e-23,25.177016515000002,0.024943621444515885,6.569667127207481e-05,0.0,0.0,2.1953852424064898e-23,3.6744094943622215e-22
41,24.1355798275,0.024970525551587342,7.269443971438625e-05,0.0,0.0,1.9624512741441515e-22,3.2295729381942576e-21,24.136656481249997,0.024949163891375064,7.878184746178168e-05,0.0,0.0,5.270531548094906e-23,2.7017232559868634e-22,24.141763576250003,0.0249435151303187,6.596703999084843e-05,0.0,0.0,2.3332726507216053e-22,3.727748860435333e-21
42,23.13114143375,0.024969535320997237,7.39235410056662e-05,0.0,0.0,2.070510388044477e-21,3.086761656699172e-20,23.13220427375,0.024948023196309805,8.093501626751863e-05,0.0,0.0,6.1372568858784105e-22,3.061383840555971e-21,23.13727857625,0.02494353702105582,6.674500409482315e-05,0.0,0.0,2.4382603532621582e-21,3.6992950550759604e-20
43,22.156921195,0.024968477406539024,7.636129852552015e-05,0.0,0.0,2.1557967952745284e-20,2.889824448459638e-19,22.1579712425,0.024947045595385135,8.267886519711703e-05,0.0,0.0,6.980659285807267e-21,3.3940889520255644e-20,22.16300687125,0.024943505894392728,6.793192029828877e-05,0.0,0.0,2.4992382513574026e-20,3.581277254741238e-19
44,21.21236680875,0.02496705042012036,7.860561327764363e-05,0.0,0.0,2.2066586903428255e-19,2.645128783537967e-18,21.21340469625,0.024945983907207845,8.446924888727828e-05,0.0,0.0,7.726471935446066e-20,3.668319946386795e-19,21.21839558125,0.02494320284947753,6.922548071150778e-05,0.0,0.0,2.5053058110843276e-19,3.3714296379348225e-18
45,20.296930803749998,0.02496589950937778,8.019126329988018e-05,0.0,0.0,2.2101842198436957e-18,2.3623028656777678e-17,20.29795581125,0.024944450860843063,8.630137351207747e-05,0.0,0.0,8.286052916526364e-19,3.848610246966675e-18,20.302896881875,0.02494257575459778,7.075440772131462e-05,0.0,0.0,2.447196509044101e-18,3.0752164266571376e-17
46,19.410067343125,0.024965109119191767,8.233256416227302e-05,0.0,0.0,2.1541889433051698e-17,2.0537866818785894e-16,19.411079263125,0.024942259402014316,8.920105879215635e-05,0.0,0.0,8.567355921235367e-18,3.9003477843612626e-17,19.415965945,0.024941916849464178,7.300524356814429e-05,0.0,0.0,2.3191826089657693e-17,2.7060868113574224e-16
47,18.551235393749998,0.024964490209706126,8.638270108445403e-05,0.0,0.0,2.030309097404399e-16,1.733937459637357e-15,18.5522337975,0.02493947017658502,9.391136528331773e-05,0.0,0.0,8.492628850681152e-17,3.7969126527382144e-16,18.557061715625,0.024941401791758834,7.533939450539057e-05,0.0,0.0,2.1214809384171978e-16,2.2859548456789e-15
