pressure_bar,temperature_K,H2O_D1mm_timescale_s,H2O_D2mm_timescale_s,H2O_D5mm_timescale_s,H2O_D10mm_timescale_s,NH3_D1mm_timescale_s,NH3_D2mm_timescale_s,NH3_D5mm_timescale_s,NH3_D10mm_timescale_s,realistic_pressure_bar,H2O_realistic_timescale_s,NH3_realistic_timescale_s
2.40586305e-01,1.07137852e+02,6.04860633e+17,2.41944253e+18,1.51215158e+19,6.04860633e+19,3.49295325e+08,1.39718130e+09,8.73238313e+09,3.49295325e+10,2.66643515e+01,2.39629935e-02,2.34603223e-02
2.46209240e-01,1.07847389e+02,4.15533160e+17,1.66213264e+18,1.03883290e+19,4.15533160e+19,2.77077545e+08,1.10831018e+09,6.92693864e+09,2.77077545e+10,2.55678457e+01,2.72781096e-02,2.66474145e-02
2.51963593e-01,1.08561625e+02,2.86191966e+17,1.14476786e+18,7.15479914e+18,2.86191966e+19,2.20149407e+08,8.80597627e+08,5.50373517e+09,2.20149407e+10,2.45039329e+01,3.11873564e-02,3.03896648e-02
2.57852435e-01,1.09280590e+02,1.97607456e+17,7.90429823e+17,4.94018639e+18,1.97607456e+19,1.75201041e+08,7.00804162e+08,4.38002601e+09,1.75201041e+10,2.34720246e+01,3.58205832e-02,3.48031643e-02
2.63878910e-01,1.10004318e+02,1.36784269e+17,5.47137077e+17,3.41960673e+18,1.36784269e+19,1.39654261e+08,5.58617045e+08,3.49135653e+09,1.39654261e+10,2.24715359e+01,4.13414123e-02,4.00322527e-02
2.70046235e-01,1.10732838e+02,9.49180422e+16,3.79672169e+17,2.37295105e+18,9.49180422e+18,1.11497584e+08,4.45990336e+08,2.78743960e+09,1.11497584e+10,2.15018853e+01,4.79575941e-02,4.62573506e-02
2.76357701e-01,1.11466183e+02,6.60289017e+16,2.64115607e+17,1.65072254e+18,6.60289017e+18,8.91591486e+07,3.56636594e+08,2.22897871e+09,8.91591486e+09,2.05624951e+01,5.59351181e-02,5.37052778e-02
2.82816678e-01,1.12204384e+02,4.60452677e+16,1.84181071e+17,1.15113169e+18,4.60452677e+18,7.14086831e+07,2.85634732e+08,1.78521708e+09,7.14086831e+09,1.96527914e+01,6.56176070e-02,6.26628585e-02
2.89426612e-01,1.12947475e+02,3.21880411e+16,1.28752164e+17,8.04701027e+17,3.21880411e+18,5.72817513e+07,2.29127005e+08,1.43204378e+09,5.72817513e+09,1.87722039e+01,7.74534487e-02,7.34950496e-02
2.96191033e-01,1.13695486e+02,2.25556706e+16,9.02226824e+16,5.63891765e+17,2.25556706e+18,4.60211246e+07,1.84084498e+08,1.15052811e+09,4.60211246e+09,1.79201663e+01,9.20343228e-02,8.66692781e-02
