level,-nu-0.01_pressure_bar,-nu-0.01_NH3_vapor_mean,-nu-0.01_NH3_vapor_std,-nu-0.01_NH3_s__mean,-nu-0.01_NH3_s__std,-nu-0.01_NH3_s_p__mean,-nu-0.01_NH3_s_p__std,-nu-0.1_pressure_bar,-nu-0.1_NH3_vapor_mean,-nu-0.1_NH3_vapor_std,-nu-0.1_NH3_s__mean,-nu-0.1_NH3_s__std,-nu-0.1_NH3_s_p__mean,-nu-0.1_NH3_s_p__std,-nu-1.0_pressure_bar,-nu-1.0_NH3_vapor_mean,-nu-1.0_NH3_vapor_std,-nu-1.0_NH3_s__mean,-nu-1.0_NH3_s__std,-nu-1.0_NH3_s_p__mean,-nu-1.0_NH3_s_p__std,-nu-10.0_pressure_bar,-nu-10.0_NH3_vapor_mean,-nu-10.0_NH3_vapor_std,-nu-10.0_NH3_s__mean,-nu-10.0_NH3_s__std,-nu-10.0_NH3_s_p__mean,-nu-10.0_NH3_s_p__std,-nu-100.0_pressure_bar,-nu-100.0_NH3_vapor_mean,-nu-100.0_NH3_vapor_std,-nu-100.0_NH3_s__mean,-nu-100.0_NH3_s__std,-nu-100.0_NH3_s_p__mean,-nu-100.0_NH3_s_p__std,-nu-1000.0_pressure_bar,-nu-1000.0_NH3_vapor_mean,-nu-1000.0_NH3_vapor_std,-nu-1000.0_NH3_s__mean,-nu-1000.0_NH3_s__std,-nu-1000.0_NH3_s_p__mean,-nu-1000.0_NH3_s_p__std
66,6.423140579375,0.002622572788852267,0.000109306036209814,0.0,0.0,7.774133617424739e-09,7.235916224213078e-09,6.4299939821875,0.003357982656103559,0.00028887840071268656,0.0,0.0,1.4840293943946472e-08,4.9857670693601574e-08,6.43422535625,0.003450906159996521,0.0004036982003517638,0.0,0.0,1.7960688815435244e-08,8.56300153429277e-08,6.7707792496875,0.004473160366760567,0.000423773748705279,0.0,0.0,1.099440721715367e-09,3.395368740151479e-09,10.285080531875,0.002518510772497393,7.19485773590245e-08,0.0,0.0,0.0,0.0,15.528522375,0.0025174476627726106,8.387993037711581e-10,0.0,0.0,0.0,0.0
67,6.0328734375,0.002590563555713743,0.00018539828510163103,0.0,0.0,5.319260443648055e-08,4.9081446190533766e-08,6.0399985503125,0.003146225290664006,0.0003278927405149982,0.0,0.0,8.884490025764056e-08,2.924444057946968e-07,6.0439399265625005,0.003161479065020103,0.000433346695567256,0.0,0.0,1.0890975474532664e-07,5.075111531218614e-07,6.3717700646874995,0.00464966815256048,0.0005595713161992444,0.0,0.0,1.0187090470305767e-08,3.0843215406666883e-08,9.855272904375,0.0025238923507276924,1.8998211194971146e-07,0.0,0.0,0.0,0.0,15.085510124999999,0.0025171829629689457,9.224027252216144e-10,0.0,0.0,0.0,0.0
68,5.660141079062501,0.0023917845689575188,0.0003243207738496474,0.0,0.0,2.5188974068646173e-07,2.2989241226806964e-07,5.6674390265625005,0.002618350379925687,0.0003857385166160777,0.0,0.0,3.0404337783780885e-07,9.162570781122333e-07,5.6710567675,0.0025712605518638156,0.0004273496528844678,0.0,0.0,3.863202107282493e-07,1.6327946000641161e-06,5.990173169375001,0.00452799420338124,0.000642489327759906,0.0,0.0,7.371871818114846e-08,2.203969683703664e-07,9.441544360625,0.0025338339953450487,2.598754976852846e-07,0.0,0.0,0.0,0.0,14.655104937499999,0.002517150386585854,6.47293885266507e-10,0.0,0.0,0.0,0.0
69,5.304419805625,0.0019713801278558093,0.0004297339865283024,0.0,0.0,6.571623777755775e-07,5.410360892516418e-07,5.311881998437499,0.0019673156529897823,0.00040729245758238893,0.0,0.0,5.657121567524507e-07,1.441784133858217e-06,5.315145226249999,0.001917791033280082,0.0003982723527730353,0.0,0.0,7.194985512021875e-07,2.3996462126171637e-06,5.6253710271875,0.003919940492254682,0.0006233203227342629,0.0,0.0,3.3384419693291203e-07,9.92890084408374e-07,9.043761373125001,0.0025438929492374884,2.129130488552498e-07,0.0,0.0,0.0,0.0,14.23701275,0.0025181773998774588,2.0695477062724633e-09,0.0,0.0,0.0,0.0
70,4.96520188984375,0.0015329804827924818,0.0004678681440691613,0.0,0.0,9.320592653416781e-07,6.157622663609848e-07,4.97282619390625,0.0014165578434040072,0.0003815621139354971,0.0,0.0,7.83375247586126e-07,1.8712252845222123e-06,4.97572931375,0.0013860936971905175,0.00035011588985033444,0.0,0.0,1.023988064414479e-06,2.900782525424166e-06,5.2769746065625,0.002979707634774968,0.0005039946816528529,0.0,0.0,6.953767653858312e-07,1.934072854329002e-06,8.66132285875,0.0025511878455290573,1.778314971814171e-07,0.0,0.0,0.0,0.0,13.831056812499998,0.002521888484014198,6.145128210042296e-09,0.0,0.0,0.0,0.0
71,4.64196999734375,0.0012098184136848432,0.0004562685821736028,0.0,0.0,1.1765312961529162e-06,6.986431369494288e-07,4.64973231125,0.0010308159763008007,0.0003545167690599888,0.0,0.0,9.825825011269932e-07,2.1589744208454993e-06,4.6523027625,0.0010158554577501492,0.0003127185098898092,0.0,0.0,1.3262215577297545e-06,3.4722250029571864e-06,4.944571964375,0.002129441332013812,0.0004156274577148324,0.0,0.0,9.20091385292153e-07,2.2495136486013906e-06,8.293484875,0.0025596480880631135,2.668961285028001e-07,0.0,0.0,0.0,0.0,13.43727462625,0.0025295823853230103,9.924754589181128e-09,0.0,0.0,0.0,0.0
72,4.334206165625,0.0010202230050927027,0.0004240539039409701,0.0,0.0,1.3470380593076924e-06,7.808687375802419e-07,4.34207145734375,0.000788859246771608,0.00034277242359951303,0.0,0.0,1.1519002666337361e-06,2.3677103914852884e-06,4.3443453621875,0.0007812570928508648,0.00029360137437594094,0.0,0.0,1.5834623037672053e-06,4.025788674468528e-06,4.62767733984375,0.001555954098352231,0.0003963961987376807,0.0,0.0,1.1413387704269434e-06,2.5774842211573043e-06,7.9395825,0.0025730020948685705,3.763703144194281e-07,0.0,0.0,0.0,0.0,13.055708125,0.0025387667965842413,1.0232612415828983e-08,0.0,0.0,0.0,0.0
73,4.0413980375000005,0.0009212750168080675,0.0003804047573546468,0.0,0.0,1.4290704397268428e-06,8.290733829140085e-07,4.04933239078125,0.0006455811045889277,0.0003227421101899595,0.0,0.0,1.2805512444347695e-06,2.5445446986107515e-06,4.051343633125,0.0006405776738392888,0.00028650348246924676,0.0,0.0,1.7774000943103417e-06,4.500652255090109e-06,4.3257832396875004,0.0011974162767146481,0.00038283781116653137,0.0,0.0,1.3179934314314126e-06,2.8564613015788714e-06,7.59904840625,0.002583680916810408,2.7233479357252447e-07,0.0,0.0,0.0,0.0,12.68609375,0.0025469304166035726,8.759633182093094e-09,0.0,0.0,0.0,0.0
74,3.7630553028125,0.0008727509334712522,0.00034170155060705455,0.0,0.0,1.5045944136886646e-06,8.73310398198475e-07,3.77102911640625,0.0005607516654163191,0.0002921435911983771,0.0,0.0,1.3788640540978942e-06,2.6965300409200197e-06,3.77280463328125,0.000558769818097062,0.00028030193537835897,0.0,0.0,1.9229951728866177e-06,4.887655203972999e-06,4.03838642234375,0.0009740208038419951,0.00037550144242267503,0.0,0.0,1.453391073982078e-06,3.1266273046907183e-06,7.2713619375,0.0025846170339500533,1.9497298770266085e-07,0.0,0.0,0.0,0.0,12.3279134375,0.0025543870793189854,8.760810771716866e-09,0.0,0.0,0.0,0.0
75,3.4987145812500002,0.0008562947307073045,0.00031565992152676585,0.0,0.0,1.585703263714322e-06,9.209563967906294e-07,3.5066978568750002,0.0005082913795195055,0.00026228471292329944,0.0,0.0,1.458121273301941e-06,2.8278759325110065e-06,3.50826251703125,0.000512664073263295,0.00027574751680663147,0.0,0.0,2.0436060331201508e-06,5.186105250023576e-06,3.7649976957812497,0.0008413748517414205,0.0003794325105595037,0.0,0.0,1.5738485757848838e-06,3.3686836484225174e-06,6.956028375,0.0025822948784334585,1.3804901230103957e-07,0.0,0.0,0.0,0.0,11.9805995,0.0025624151807278396,1.5132743455561905e-08,0.0,0.0,0.0,0.0
