level,-nu-0.01_pressure_bar,-nu-0.01_H2O_vapor_mean,-nu-0.01_H2O_vapor_std,-nu-0.01_H2O_l__mean,-nu-0.01_H2O_l__std,-nu-0.01_H2O_l_p__mean,-nu-0.01_H2O_l_p__std,-nu-0.1_pressure_bar,-nu-0.1_H2O_vapor_mean,-nu-0.1_H2O_vapor_std,-nu-0.1_H2O_l__mean,-nu-0.1_H2O_l__std,-nu-0.1_H2O_l_p__mean,-nu-0.1_H2O_l_p__std,-nu-1.0_pressure_bar,-nu-1.0_H2O_vapor_mean,-nu-1.0_H2O_vapor_std,-nu-1.0_H2O_l__mean,-nu-1.0_H2O_l__std,-nu-1.0_H2O_l_p__mean,-nu-1.0_H2O_l_p__std,-nu-10.0_pressure_bar,-nu-10.0_H2O_vapor_mean,-nu-10.0_H2O_vapor_std,-nu-10.0_H2O_l__mean,-nu-10.0_H2O_l__std,-nu-10.0_H2O_l_p__mean,-nu-10.0_H2O_l_p__std,-nu-100.0_pressure_bar,-nu-100.0_H2O_vapor_mean,-nu-100.0_H2O_vapor_std,-nu-100.0_H2O_l__mean,-nu-100.0_H2O_l__std,-nu-100.0_H2O_l_p__mean,-nu-100.0_H2O_l_p__std,-nu-1000.0_pressure_bar,-nu-1000.0_H2O_vapor_mean,-nu-1000.0_H2O_vapor_std,-nu-1000.0_H2O_l__mean,-nu-1000.0_H2O_l__std,-nu-1000.0_H2O_l_p__mean,-nu-1000.0_H2O_l_p__std
20,52.60702636,0.024985960262827574,4.4703986843376454e-05,0.0,0.0,0.0,0.0,52.621290752499995,0.024979730173945426,5.556560771419016e-05,0.0,0.0,0.0,0.0,52.628329040000004,0.024984535892494022,5.607018456450954e-05,0.0,0.0,0.0,0.0,52.90742824749999,0.02498445709142834,6.067159288954624e-06,0.0,0.0,0.0,0.0,55.1082468925,0.024964559823274612,0.0,0.0,0.0,0.0,0.0,58.57283575,0.024964578070677815,7.499032272143649e-10,0.0,0.0,0.0,0.0
21,50.82046526,0.024986046478152276,4.497595225049119e-05,0.0,0.0,0.0,0.0,50.8343849575,0.024979098442941904,5.7517516353818825e-05,0.0,0.0,0.0,0.0,50.8415498125,0.02498365821223706,5.518599252879653e-05,0.0,0.0,0.0,0.0,51.132818175,0.02498654293362051,9.325227593442413e-06,0.0,0.0,0.0,0.0,53.39833675,0.024964558157138526,5.721982536622465e-10,0.0,0.0,0.0,0.0,56.91026975,0.024964576587080956,0.0,0.0,0.0,0.0,0.0
22,49.0776654925,0.02498559757228941,4.4909908456933716e-05,0.0,0.0,0.0,0.0,49.091243915,0.02497814906295389,6.056351515273241e-05,0.0,0.0,0.0,0.0,49.09852418,0.024982897314243017,5.525639756369018e-05,0.0,0.0,0.0,0.0,49.4015810425,0.024987653022632002,1.1372845453658656e-05,0.0,0.0,0.0,0.0,51.732552999999996,0.024964557960629463,0.0,0.0,0.0,0.0,0.0,55.294770750000005,0.024964574724435806,0.0,0.0,0.0,0.0,0.0
23,47.377977484999995,0.024985175000503658,4.515206316593924e-05,0.0,0.0,0.0,0.0,47.3912194925,0.02497713214252144,6.381145598497187e-05,0.0,0.0,0.0,0.0,47.398603367499994,0.02498239737469703,5.683071951785904e-05,0.0,0.0,0.0,0.0,47.71306337,0.024988600896671414,1.1108433398742236e-05,0.0,0.0,0.0,0.0,50.10990875,0.024964556777849794,8.96733554233948e-10,0.0,0.0,0.0,0.0,53.725006500000006,0.024964573193341492,7.124855087803856e-10,0.0,0.0,0.0,0.0
24,45.72075579250001,0.024985638921149075,4.650925930859087e-05,0.0,0.0,0.0,0.0,45.7336654075,0.024976317167282106,6.618812433176615e-05,0.0,0.0,0.0,0.0,45.741141495,0.024981871616095306,5.854461717028986e-05,0.0,0.0,0.0,0.0,46.066618912500005,0.02499017976783216,8.722077270028065e-06,0.0,0.0,0.0,0.0,48.52944599999999,0.024964556097984314,0.0,0.0,0.0,0.0,0.0,52.199684749999996,0.024964572861790657,0.0,0.0,0.0,0.0,0.0
25,44.10535556,0.024986716804094613,4.765201695831603e-05,0.0,0.0,0.0,0.0,44.117939207499994,0.02497591012902558,6.767015818578071e-05,0.0,0.0,0.0,0.0,44.125496615,0.024981214547529818,5.9811239498954835e-05,0.0,0.0,0.0,0.0,44.4616070125,0.02499275578651577,5.726616108170561e-06,0.0,0.0,0.0,0.0,46.99022625,0.02496455574221909,7.321854092843696e-10,0.0,0.0,0.0,0.0,50.71754675,0.024964570999145508,0.0,0.0,0.0,0.0,0.0
26,42.5311388325,0.02498765144869685,4.818283468502528e-05,0.0,0.0,0.0,0.0,42.54340061,0.024975563150830566,6.826901097832148e-05,0.0,0.0,2.802596928649634e-48,6.260527312210774e-47,42.5510298525,0.024980473646894097,6.043924054697122e-05,0.0,0.0,4.203895392974451e-48,7.663706297792341e-47,42.8973931825,0.024996388965286314,3.486974905469306e-06,0.0,0.0,0.0,0.0,45.491339749999995,0.024964554235339165,0.0,0.0,0.0,0.0,0.0,49.2773715,0.0249645699840039,9.27543049087587e-10,0.0,0.0,0.0,0.0
27,40.9974678775,0.024988144751638176,4.841920483018656e-05,0.0,0.0,1.653532187903284e-46,5.710630810489451e-46,41.009414355000004,0.024974726327694954,6.805272333816429e-05,0.0,0.0,1.6815581571897804e-46,1.1003539486369975e-45,41.017104458750005,0.024979729634709655,6.024409646625312e-05,0.0,0.0,2.5713826820360393e-46,1.2286980562309935e-45,41.373350245,0.025001233777962626,2.0560526906689652e-06,0.0,0.0,0.0,0.0,44.031897,0.024964554234407844,4.1639597911589164e-11,0.0,0.0,0.0,0.0,47.877973,0.02496456913650036,0.0,0.0,0.0,0.0,0.0
28,39.503711804999995,0.024988280286081136,4.814001129807907e-05,0.0,0.0,4.133129820526048e-45,7.204221059888088e-45,39.5153467875,0.024973545227199793,6.806869136074834e-05,0.0,0.0,2.7794755039882747e-45,1.5940546285945893e-44,39.52308739375,0.024979121499694883,5.99903304726547e-05,0.0,0.0,4.1121103435611755e-45,1.771167033709083e-44,39.888857962500005,0.025007840815000237,3.693353171426185e-06,0.0,0.0,7.006492321624086e-49,3.1326151753974123e-47,42.611030750000005,0.024964552422985436,3.01903694702091e-10,0.0,0.0,0.0,0.0,46.518197750000006,0.02496456727385521,0.0,0.0,0.0,0.0,0.0
29,38.04923864375,0.02498841013945639,4.842124475012799e-05,0.0,0.0,6.037284238773826e-44,1.0226591829969954e-43,38.06056931375,0.02497235961165279,6.864731698809092e-05,0.0,0.0,4.0518545095952084e-44,2.3134723734530773e-43,38.06835005375,0.024978745984844862,6.049026417436143e-05,0.0,0.0,5.9677798349433145e-44,2.581556271198311e-43,38.443300773749996,0.02501795821264386,6.2919718669093105e-06,0.0,0.0,5.535128934083027e-47,4.603851958396882e-46,41.227896,0.024964552372694016,0.0,0.0,0.0,0.0,0.0,45.196924249999995,0.02496456727385521,0.0,0.0,0.0,0.0,0.0
