level,-kappa-0.01_pressure_bar,-kappa-0.01_H2S_mean,-kappa-0.01_H2S_std,-kappa-0.01_NH4SH_s__mean,-kappa-0.01_NH4SH_s__std,-kappa-0.01_NH4SH_s_p__mean,-kappa-0.01_NH4SH_s_p__std,-kappa-0.1_pressure_bar,-kappa-0.1_H2S_mean,-kappa-0.1_H2S_std,-kappa-0.1_NH4SH_s__mean,-kappa-0.1_NH4SH_s__std,-kappa-0.1_NH4SH_s_p__mean,-kappa-0.1_NH4SH_s_p__std,-kappa-1.0_pressure_bar,-kappa-1.0_H2S_mean,-kappa-1.0_H2S_std,-kappa-1.0_NH4SH_s__mean,-kappa-1.0_NH4SH_s__std,-kappa-1.0_NH4SH_s_p__mean,-kappa-1.0_NH4SH_s_p__std
10,73.096715447625,0.0002223829866856977,1.30401905864891e-05,0.0,0.0,4.379028666694189e-31,3.68762176063927e-30,73.096727076075,0.00022245880932634463,1.2667567630431881e-05,0.0,0.0,1.70936997440915e-31,1.2572744983830488e-30,73.10045298622501,0.00026494436168788524,1.3493669331537728e-05,0.0,0.0,7.297046207300711e-31,5.598236037740663e-30
11,70.834851132075,0.00022279471308094798,1.3497464934154898e-05,0.0,0.0,3.50386360550187e-30,2.834202743548583e-29,70.8348447272,0.00022292035563055833,1.305599110277791e-05,0.0,0.0,1.3748053715141524e-30,9.864680584403173e-30,70.83891184085,0.00026655913730988686,1.4813993740753668e-05,0.0,0.0,5.856329879304125e-30,4.3220858747070786e-29
12,68.62341818132501,0.0002231846681277966,1.3978286509716787e-05,0.0,0.0,2.745431902080754e-29,2.126528673636283e-28,68.6233932005,0.0002233530148705904,1.344348270272015e-05,0.0,0.0,1.0829971313991365e-29,7.56377323435962e-29,68.62779820545,0.00026809679423568016,1.62012216965575e-05,0.0,0.0,4.603377770093602e-29,3.2578560126004457e-28
13,66.46173761222501,0.00022355464476058842,1.4464936562873969e-05,0.0,0.0,2.1043857703324145e-28,1.556338393462478e-27,66.46169371245,0.0002237692010018509,1.3857213229292026e-05,0.0,0.0,8.347076112728561e-29,5.661985716044206e-28,66.4664320499,0.00026958685099860306,1.765887582771547e-05,0.0,0.0,3.5402115174002058e-28,2.3950449352817842e-27
14,64.34913326542501,0.00022390535163525782,1.493068697637184e-05,0.0,0.0,1.5762474623041941e-27,1.1100837802291623e-26,64.34907020885,0.00022417583629379806,1.4304183776602272e-05,0.0,0.0,6.287453734211374e-28,4.133550509725583e-27,64.3541367326,0.0002710494877904421,1.9181144674471098e-05,0.0,0.0,2.660634175311845e-27,1.7154316873665158e-26
15,62.284931706925,0.00022424038432764063,1.535656276792272e-05,0.0,0.0,1.1524349276577845e-26,7.710024038053795e-26,62.2848493881,0.00022457615605191676,1.4775480718884285e-05,0.0,0.0,4.6231036038400314e-27,2.9398654402393647e-26,62.290238729924994,0.0002724922993841756,2.0735993317260517e-05,0.0,0.0,1.9517251606258906e-26,1.1957609324575582e-25
16,60.268462486699995,0.00022456780914559203,1.5759032795004586e-05,0.0,0.0,8.21452602466871e-26,5.2098045559289e-25,60.268360807149996,0.00022497502780141076,1.527226289643151e-05,0.0,0.0,3.3141288370510996e-26,2.0346556713373583e-25,60.27406733975,0.00027391480616926854,2.2278350395402935e-05,0.0,0.0,1.3956479755688727e-25,8.103179118587734e-25
17,58.2990580079,0.00022489723185120964,1.6176391866664845e-05,0.0,0.0,5.701287473360565e-25,3.4216466735269224e-24,58.298937020699995,0.0002253705519921641,1.577417621758784e-05,0.0,0.0,2.313203841737126e-25,1.3687010771697771e-24,58.304954587675,0.0002753161545772309,2.3770473583158706e-05,0.0,0.0,9.71571578454748e-25,5.332329677511521e-24
18,56.376053721925004,0.00022523612374963705,1.6635918062165293e-05,0.0,0.0,3.8477351886931805e-24,2.181907932028403e-23,56.375913578375,0.00022576071670198872,1.62660759693791e-05,0.0,0.0,1.5699052798470435e-24,8.93831479880819e-24,56.382235467425,0.00027670097520975106,2.5190937218617605e-05,0.0,0.0,6.5751421871190606e-24,3.403514241908324e-23
19,54.498788078124996,0.00022558650452658184,1.713486314156836e-05,0.0,0.0,2.5215295223762185e-23,1.349345725470908e-22,54.4986290922,0.00022614886962641322,1.6756326990397423e-05,0.0,0.0,1.0344885586377632e-23,5.659572860562076e-23,54.50524813187501,0.000278081633640395,2.654211510773985e-05,0.0,0.0,4.3194475742488766e-23,2.1047053365995077e-22
