level,-nu-0.01_pressure_bar,-nu-0.01_theta_mean,-nu-0.01_theta_std,-nu-0.1_pressure_bar,-nu-0.1_theta_mean,-nu-0.1_theta_std,-nu-1.0_pressure_bar,-nu-1.0_theta_mean,-nu-1.0_theta_std,-nu-10.0_pressure_bar,-nu-10.0_theta_mean,-nu-10.0_theta_std,-nu-50.0_pressure_bar,-nu-50.0_theta_mean,-nu-50.0_theta_std,-nu-100.0_pressure_bar,-nu-100.0_theta_mean,-nu-100.0_theta_std
17,58.2520652775,162.167569732666,0.007154786566682954,58.27338798499999,162.16442180633544,0.007785079575256371,58.281550645,162.19320625305176,0.008810278872149132,59.083137505,167.8150560760498,0.011684109259608392,60.998297047499996,175.47765788269044,0.0197697750974164,62.867078,181.01724320220947,0.009548419072637038
18,56.329705492500004,162.1670429763794,0.0071772393002000395,56.350467255,162.16386023712158,0.007841826028813453,56.3587318475,162.19282637023926,0.00908274642936906,57.20716794,168.06631497192382,0.011662400733677919,59.164661022500006,176.2930294494629,0.02132251231451456,61.052251749999996,182.3047773284912,0.010396931147115178
19,54.45308853,162.1666452484131,0.007131666681593803,54.4732981325,162.16341635894776,0.007810888826556965,54.48165373,162.1923824234009,0.009423118016682712,55.3767809675,168.3108434829712,0.012042166948169373,57.37891225,177.1055802001953,0.02289538605133501,59.287563250000005,183.5986831588745,0.011264266043570406
20,52.62155534,162.16625173187256,0.007202238636708769,52.6412225,162.1631191329956,0.007833889955617464,52.64965887,162.1919969100952,0.009759985023614196,53.59109545,168.54981815338135,0.014201749713918872,55.6398955,177.91555633544922,0.024491223899238274,57.571652,184.8990364074707,0.012153339442486725
21,50.834449545,162.16582501220702,0.007328689370073913,50.853584007500004,162.16285654449462,0.00798682727408572,50.8620912275,162.19176293945313,0.00987770533841991,51.849243995,168.78332564544678,0.017081375978108947,53.94648599999999,178.72320887756348,0.026103450126753976,55.90319025,186.20591888427734,0.013060929739462964
22,49.0911158875,162.16543521118163,0.0075410152281296956,49.1097305575,162.16242693328857,0.00825315466670729,49.118298625,162.19150652313232,0.009767280806449171,50.150373435000006,169.01205098724364,0.020294533169913254,52.2975905,179.52880690002442,0.02773412983778855,54.28089125,187.5194175720215,0.013985182112672856
23,47.3909070125,162.16504224395752,0.007948670857931855,47.409011262499995,162.16191637420656,0.008657051832699098,47.4176317425,162.191206489563,0.009720011628941636,48.493663895,169.23567604064942,0.02285752570551041,50.69214425,180.33262159729003,0.02938247940250316,52.70349975,188.8396224975586,0.014932993081630392
24,45.73317692,162.16448854064942,0.008437272301099915,45.7507811475,162.16148421478272,0.009056330247919736,45.759444325000004,162.19092155456542,0.009719095758177917,46.878316950000006,169.4535552444458,0.022985750973528916,49.1291125,181.13493923950196,0.031044061041933087,51.16979875,190.16662449645997,0.015898553510359497
25,44.1172811275,162.16386516571046,0.008795373755916252,44.1343970225,162.16115575408935,0.009340795789973462,44.1430936125,162.1906967163086,0.009522370700664874,45.30356532,169.66706663513185,0.02237887567767063,47.607485999999994,181.93605533599853,0.03272257095679395,49.67860275,191.50052796173097,0.0168785007992164
26,42.542580677500005,162.16321938323975,0.00903385011482103,42.559218345,162.16081985473633,0.009598746681789602,42.56793971,162.1904538192749,0.009303825671182217,43.7686745875,169.87671696472168,0.025267963796290344,46.12628175,182.7362714767456,0.034413194014333966,48.2287625,192.84143447875977,0.017877767881961572
27,41.00843854,162.16271012878417,0.00929800950968585,41.024609148749995,162.16037453460694,0.010012381795249386,41.0333466175,162.19016536712647,0.009417796248941023,42.2729229125,170.08300158691407,0.03055772880065558,44.684546749999996,183.535897064209,0.036115699812348655,46.8191575,194.18945388793946,0.018896032714251325
28,39.5142230875,162.16235558319093,0.009508226935773124,39.52993563625,162.15988192749023,0.010488121258769186,39.53867936625,162.18998023223878,0.00991620484221628,40.8155648275,170.284842628479,0.03649064987077094,43.2813457325,184.33525531005859,0.03783107738252445,45.448699749999996,195.5446990966797,0.019931299537495156
29,38.05930259625,162.16205711364745,0.009731448204805239,38.074567155,162.15948880004882,0.0108686481823976,38.08330988125,162.1899277267456,0.01067755318942612,39.39581324875,170.48225033569335,0.04385484773839504,41.91577125,185.13467177581788,0.039556576456863946,44.11633,196.9072936706543,0.02098163156333518
30,36.64305353,162.16171160125734,0.00986905084784391,36.657878672500004,162.15908240509034,0.011147899542818843,36.666612125,162.18989279937745,0.011501166191524857,38.01290129375,170.67389489746094,0.05012765033128556,40.58693907625,185.93447867584229,0.04128791079495465,42.8210180525,198.27735595703126,0.022049985339935397
31,35.26485026125,162.1613610458374,0.009904838061805523,35.27924531625,162.15856999969483,0.011370470883360828,35.287961851249996,162.1897304611206,0.01214538474628817,36.666133405,170.85877349090578,0.050632255973164196,39.2939855,186.73502229309082,0.04303433365490719,41.56176575,199.6550163269043,0.02313592690215809
32,33.924073776250005,162.1609368209839,0.009971473328769685,33.93804676875,162.1579987258911,0.011435632636953888,33.94673966375,162.1894235610962,0.012501249126086422,35.354865090000004,171.03971561431885,0.04725296400058023,38.036068625,187.53664385223388,0.04478129534627922,40.3375975,201.0404136657715,0.024234104900892492
33,32.62010606875,162.16041651153566,0.010082019594776665,32.633667095,162.15751531219482,0.011580086116219312,32.64232729125,162.18907588195802,0.012684271745699912,34.07846063,171.21783450317383,0.04431839815777709,36.812368375,188.33970017242433,0.046534703216034624,39.1475675,202.43368258666993,0.025345689433795157
34,31.35233542,162.15988108062743,0.010206778014868672,31.365493921249996,162.157182472229,0.011984513401513847,31.3741151925,162.18874995422362,0.012701413248649344,32.836242585,171.39305344390868,0.04653995652504785,35.622082125,189.14455138397216,0.04829555765518022,37.9907545,203.83496704101563,0.02647353219711792
35,30.120151701250002,162.15930567932128,0.010628992745111239,30.13291794375,162.15686473846435,0.012550455090367856,30.141492415,162.18845291137694,0.012644405299952373,31.627524538750002,171.56009027099608,0.055088824559047976,34.464428375,189.95156101226806,0.05005929731333794,36.866263125,205.24441528320312,0.027617224567825498
36,28.92294837625,162.15871742248535,0.011135879708684739,28.935331753750003,162.15650428009033,0.012893446356523976,28.943853905,162.1882197189331,0.01265056043137134,30.4516497925,171.70911198425293,0.058419790953407484,33.338643624999996,190.76109484100343,0.05182801771647839,35.773222125,206.66219253540038,0.028772891468547064
37,27.760124180000002,162.15823364257812,0.011731779097493471,27.77213437125,162.15611303710938,0.013175514734138815,27.780596770000002,162.18802194976806,0.01278389102566907,29.30801381125,171.8400916519165,0.051879376682141286,32.243982625,191.57352891540526,0.05359550010394273,34.710784,208.08844375610352,0.02993881693209883
38,26.63107982625,162.15775706481935,0.012382011161175934,26.642724792499997,162.15570525360107,0.01361533677263931,26.65112297625,162.18781120300292,0.012928982141498013,28.1960297775,171.95553019714356,0.04203157091735871,31.179716625,192.38923859405517,0.05536434563206915,33.678124125000004,209.52334518432616,0.03112021723738742
39,25.535219647499996,162.15715255737305,0.01322310336443828,25.546508442500002,162.1553243789673,0.013961416636921409,25.55483534375,162.18763648986817,0.013250858801568954,27.115096434999998,172.05499977874757,0.0348723328044112,30.145134375,193.20860090637208,0.05713469878573284,32.674441125,210.9670555114746,0.032310616620192065
40,24.471951851249997,162.15654885101318,0.014283150819801,24.482892127499998,162.15501259613038,0.014210894459300814,24.4911438,162.18738815307617,0.013676030362832775,26.064576645,172.13726303863524,0.03104659972320853,29.1395405,194.032002243042,0.058904159707860435,31.698953624999998,212.41975936889648,0.03351477898232134
41,23.440686175000003,162.1560334777832,0.015393405867455398,23.45128744625,162.15489765167237,0.014563223090631025,23.459458842500002,162.18701165008545,0.014072195694884574,25.04381228625,172.19997715759277,0.029507250494868107,28.162255125,194.85982583618164,0.060671654210708456,30.750903625,213.8816276550293,0.03472541739443207
42,22.44084017125,162.15549130249025,0.0161134597646766,22.451111182499996,162.15496361541747,0.015296454190623369,22.45919438625,162.18660268402098,0.014589183962393526,24.052157478749997,172.24355502319335,0.028895037057872785,27.2126135,195.6924582824707,0.0624351625060072,29.82955125,215.35285415649415,0.0359465143554138
43,21.47183040625,162.15484513092042,0.016669614506829196,21.481779907499998,162.15496189880372,0.015559738244337882,21.489770862500002,162.18632873535157,0.015353790467632262,23.0890104275,172.27137976074218,0.028381546180867537,26.289966375000002,196.5302914505005,0.06419700855344736,28.934178375,216.83361740112304,0.037174624398336686
44,20.533080249375,162.15415720367432,0.017505940553915668,20.542717156875,162.15489889526367,0.015161698985654485,20.5506093275,162.18622265625,0.016182207996997783,22.15381375125,172.28821712493897,0.028541487433887344,25.393677375,197.3737070236206,0.06595675860093138,28.064086,218.32411880493163,0.038413317154336
45,19.624014785625,162.1535666809082,0.018560250575694052,19.633349273125,162.1547610321045,0.014841647575202966,19.641137786875,162.1861082611084,0.016780644273119396,21.24604160875,172.29896128845215,0.02946123110778873,24.52312475,198.22310397338867,0.06770636929499331,27.2185925,219.8245506286621,0.03965690229841499
46,18.74406608125,162.15311282348634,0.01971590302003747,18.75310525125,162.15455283355712,0.014949887287549342,18.76078600875,162.18594094848632,0.017442871936207232,20.365190609375002,172.30567636108398,0.03147077734151034,23.677699875,199.07886511993408,0.06945395003598813,26.39703575,221.33512386322022,0.04090868005014037
47,17.892667576875,162.15264528656004,0.021056235151356902,17.9014182225,162.15439495849608,0.015764366135086763,17.90898658375,162.18564240264894,0.018295949913696125,19.5107685675,172.30881832885743,0.033484341442303944,22.85680625,199.9413815689087,0.07119335194009199,25.598771375000002,222.85603790283204,0.04216439182156597
48,17.069255786875,162.1522044067383,0.02218401029428803,17.077725610625002,162.1543963470459,0.016848642553311893,17.085175663125,162.18540464019776,0.019472272818798205,18.682287445625,172.3086686630249,0.034437989904283026,22.05986127625,200.81103813171387,0.07292522451207596,24.823171375,224.38751220703125,0.04342345510449625
49,16.273271490625,162.15174410247803,0.023312324873414073,16.281466886875002,162.15456121063232,0.01776547974849449,16.288794791875,162.18531871032715,0.020745642660685057,17.879260223125,172.30599340057373,0.03465663737832331,21.286293875000002,201.68822633361816,0.07464948648634308,24.069625125,225.92975463867188,0.044685968672084145
50,15.504160099375001,162.15157614135742,0.0247454819116436,15.512088648125001,162.15490599060058,0.01845313899966087,15.519288898125,162.18529738616942,0.022057352605498553,17.1012028525,172.30147022247314,0.03508281533913768,20.5355438775,202.5733219528198,0.07636527480833837,23.337538624999997,227.48299030303954,0.04595187467293423
51,14.76136981375,162.15168872070313,0.026146174161505074,14.769037525,162.155419631958,0.019467903116198292,14.7761056475,162.18506992340087,0.02336476876604867,16.34763592875,172.29664199829102,0.03601823489618334,19.8070641225,203.46671157836914,0.0780716775180026,22.626332374999997,229.0474433288574,0.04722236919088039
52,14.044353818125,162.1518418045044,0.027230291221478988,14.0517672575,162.15581739044188,0.02095796394665587,14.058698680000001,162.18495371246337,0.02441724884458466,15.618089933124999,172.29299133300782,0.03695093234091573,19.10031687625,204.36877018737792,0.07976846727342674,21.93544375,230.62333634948732,0.048487176398300524
53,13.35256786,162.15156550598144,0.028872039036993525,13.35973314375,162.15574661254882,0.023081183612226157,13.366522430624999,162.18486789703368,0.02548344172463698,14.912101593125,172.29070265197754,0.037844689698178946,18.414777003125,205.27986756134032,0.08145530932223476,21.264324,232.2109045791626,0.049756607177077306
