level,-nu-0.01_pressure_bar,-nu-0.01_NH3_vapor_mean,-nu-0.01_NH3_vapor_std,-nu-0.01_NH3_s__mean,-nu-0.01_NH3_s__std,-nu-0.01_NH3_s_p__mean,-nu-0.01_NH3_s_p__std,-nu-0.1_pressure_bar,-nu-0.1_NH3_vapor_mean,-nu-0.1_NH3_vapor_std,-nu-0.1_NH3_s__mean,-nu-0.1_NH3_s__std,-nu-0.1_NH3_s_p__mean,-nu-0.1_NH3_s_p__std,-nu-1.0_pressure_bar,-nu-1.0_NH3_vapor_mean,-nu-1.0_NH3_vapor_std,-nu-1.0_NH3_s__mean,-nu-1.0_NH3_s__std,-nu-1.0_NH3_s_p__mean,-nu-1.0_NH3_s_p__std,-nu-10.0_pressure_bar,-nu-10.0_NH3_vapor_mean,-nu-10.0_NH3_vapor_std,-nu-10.0_NH3_s__mean,-nu-10.0_NH3_s__std,-nu-10.0_NH3_s_p__mean,-nu-10.0_NH3_s_p__std,-nu-100.0_pressure_bar,-nu-100.0_NH3_vapor_mean,-nu-100.0_NH3_vapor_std,-nu-100.0_NH3_s__mean,-nu-100.0_NH3_s__std,-nu-100.0_NH3_s_p__mean,-nu-100.0_NH3_s_p__std
39,25.5511462625,0.0025419874012004586,7.007511824184089e-06,0.0,0.0,3.450466476259055e-39,8.919477489443254e-39,25.5519375025,0.0025409586298046636,3.5557224764943855e-06,0.0,0.0,1.7970477220651594e-39,4.441592054454659e-39,25.5677808775,0.002532046858803369,6.646704537583145e-06,0.0,0.0,1.004428642152545e-39,2.5202338355236105e-39,25.901640724999996,0.002517433138564229,0.0,0.0,0.0,0.0,0.0,28.70275525,0.002517434535548091,0.0,0.0,0.0,0.0,0.0
40,24.487998126249998,0.0025423916876316072,7.334488619385985e-06,0.0,0.0,5.006733641412991e-38,1.2948268320653672e-37,24.4887423925,0.002540968961897306,3.6152987278613695e-06,0.0,0.0,2.6097768155000825e-38,6.453039048842961e-38,24.50483570875,0.0025393780451267957,1.1399441666861435e-05,0.0,0.0,1.459070870559134e-38,3.661521380030684e-38,24.841142611250003,0.002517433138564229,0.0,0.0,0.0,0.0,0.0,27.67439375,0.002517434535548091,0.0,0.0,0.0,0.0,0.0
41,23.4568279475,0.0025428237314336004,7.659352284582122e-06,0.0,0.0,7.265906184727298e-37,1.879937127473981e-36,23.45752774625,0.0025410363966366276,3.840516644169716e-06,0.0,0.0,3.7902571192837005e-37,9.375888649179703e-37,23.47386830875,0.002546713124611415,1.4974731163132681e-05,0.0,0.0,2.1196550704624356e-37,5.320008210391176e-37,23.8123664775,0.002517433138564229,0.0,0.0,0.0,0.0,0.0,26.67549271,0.002517434535548091,0.0,0.0,0.0,0.0,0.0
42,22.45705251375,0.002543295933515765,7.99210565432133e-06,0.0,0.0,1.0545539528995274e-35,2.729739704779349e-35,22.457709542499998,0.0025411562523804604,4.199254988909282e-06,0.0,0.0,5.504713522495501e-36,1.362265512062011e-35,22.4742954175,0.002552924457937479,1.7385773430678945e-05,0.0,0.0,3.0793874382702984e-36,7.729833382841751e-36,22.81473120625,0.0025174331380985676,1.0402085214708314e-11,0.0,0.0,0.0,0.0,25.705436000000002,0.002517434535548091,0.0,0.0,0.0,0.0,0.0
43,21.4880916575,0.002543798132217489,8.318549571167824e-06,0.0,0.0,1.5306333547888926e-34,3.963952579819209e-34,21.488706827500003,0.0025413206786615776,4.580766724406305e-06,0.0,0.0,7.99422475662164e-35,1.9791807919576304e-34,21.505534976249997,0.002558502993080765,2.0721673223958077e-05,0.0,0.0,4.473486823661718e-35,1.1230703738616345e-34,21.847658185,0.002517433117842302,6.629706929531359e-11,0.0,0.0,0.0,0.0,24.76362001375,0.0025174343475373464,9.179663704332899e-11,0.0,0.0,0.0,0.0
44,20.549368402499997,0.0025443235754501075,8.65778403576462e-06,0.0,0.0,2.2216044221733473e-33,5.7561694252018855e-33,20.549943085,0.002541534209623933,4.892169916815273e-06,0.0,0.0,1.160812034845949e-33,2.8750913797548838e-33,20.5670074475,0.002564065241604112,2.4547485694094092e-05,0.0,0.0,6.497943457765523e-34,1.6315008956466134e-33,20.910574108125,0.0025174330254085363,1.1636967807284867e-10,0.0,0.0,0.0,0.0,23.84944875,0.0025174343027174473,0.0,0.0,0.0,0.0,0.0
45,19.64031042125,0.002544878129498102,9.022883587490626e-06,0.0,0.0,3.224149509173912e-32,8.357791607463223e-32,19.64084481,0.0025418134529609235,5.28481376046696e-06,0.0,0.0,1.6852004914351235e-32,4.175611883127491e-32,19.658133753125,0.002570425383280963,2.6475116661770603e-05,0.0,0.0,9.436486596603918e-33,2.369556411198887e-32,20.002908273750002,0.0025174329223809763,5.999072544003137e-11,0.0,0.0,0.0,0.0,22.962337,0.0025174343027174473,0.0,0.0,0.0,0.0,0.0
46,18.76034848125,0.0025454879894386976,9.411767080414143e-06,0.0,0.0,4.678060649118794e-31,1.2132440283198795e-30,18.76084297375,0.0025421586357988416,5.820298028894877e-06,0.0,0.0,2.4456553356785003e-31,6.06234306654099e-31,18.778336026875,0.0025787773543270304,2.6475213335237174e-05,0.0,0.0,1.3699282962864247e-31,3.4402976014297413e-31,19.124095031875,0.002517432905966416,7.359069133773033e-12,0.0,0.0,0.0,0.0,22.101708624999997,0.0025174343027174473,0.0,0.0,0.0,0.0,0.0
47,17.908915985625,0.002546190258814022,9.841246683997454e-06,0.0,0.0,6.785075087768685e-30,1.7605083127809402e-29,17.909371344375,0.0025425456920638682,6.4130746980769826e-06,0.0,0.0,3.547559891815243e-30,8.797283724792403e-30,17.92704123375,0.002588294132030569,2.6384695861351603e-05,0.0,0.0,1.987822802134818e-30,4.992460834599356e-30,18.273572206875,0.0025174329057335854,0.0,0.0,0.0,0.0,0.0,21.266996000000002,0.0025174343027174473,0.0,0.0,0.0,0.0,0.0
48,17.085451434375003,0.002547023362130858,1.0333075976067317e-05,0.0,0.0,9.835643578554357e-29,2.553190228948245e-28,17.085868056875,0.002542954395757988,6.9647806679016675e-06,0.0,0.0,5.142509334170659e-29,1.2757457828458652e-28,17.103679828125,0.0025973218028666452,2.7250977028293758e-05,0.0,0.0,2.88251832507852e-29,7.240117993916503e-29,17.450782020625,0.0025174329057335854,0.0,0.0,0.0,0.0,0.0,20.457641625,0.0025174341740785166,1.1577180375278407e-10,0.0,0.0,0.0,0.0
