level,-nu-0.01_pressure_bar,-nu-0.01_H2O_mean,-nu-0.01_H2O_std,-nu-0.01_H2O_l__mean,-nu-0.01_H2O_l__std,-nu-0.01_H2O_l_p__mean,-nu-0.01_H2O_l_p__std,-nu-0.1_pressure_bar,-nu-0.1_H2O_mean,-nu-0.1_H2O_std,-nu-0.1_H2O_l__mean,-nu-0.1_H2O_l__std,-nu-0.1_H2O_l_p__mean,-nu-0.1_H2O_l_p__std,-nu-1.0_pressure_bar,-nu-1.0_H2O_mean,-nu-1.0_H2O_std,-nu-1.0_H2O_l__mean,-nu-1.0_H2O_l__std,-nu-1.0_H2O_l_p__mean,-nu-1.0_H2O_l_p__std
29,38.078742319725,0.024861837769709526,0.00014753386127088798,0.0,0.0,1.2595623094626798e-43,2.521607281547998e-42,38.07853958065,0.024895264090904964,0.00014423987353091354,0.0,0.0,1.908065372196785e-43,1.1516701517388811e-41,38.0851466502125,0.024877583355121316,0.0001404841114559749,0.0,0.0,1.5145378136164448e-43,1.152479903530552e-41
30,36.6619952296625,0.02486031965162605,0.000148421419840074,0.0,0.0,1.716962481371379e-42,3.1557100435588653e-41,36.66179558685,0.024893549141613767,0.00014509893645964106,0.0,0.0,2.463273801714459e-42,1.3012224900617064e-40,36.6684757010375,0.024875762965129687,0.00014125539485389496,0.0,0.0,1.9520391269421922e-42,1.3169752611610932e-40
31,35.2833061689375,0.02485877542297356,0.0001493509478140281,0.0,0.0,2.347338243474892e-41,3.939702873264619e-40,35.2831105209625,0.02489179704447277,0.00014598599871643174,0.0,0.0,3.2031184897783857e-41,1.467574678494027e-39,35.289853816275,0.024873921520411967,0.0001420441765532011,0.0,0.0,2.531978647762651e-41,1.5011707840798303e-39
32,33.9420550402375,0.024857202613521368,0.00015032834330891507,0.0,0.0,3.2195777669732658e-40,4.908476723794136e-39,33.9418641940875,0.024889998418064788,0.0001469087970632527,0.0,0.0,4.1964875808238115e-40,1.6538125161875667e-38,33.9486609979625,0.02487205186924897,0.0001428634840688661,0.0,0.0,3.306892567366272e-40,1.7079251745618827e-38
33,32.63762513885,0.0248555970804207,0.00015136152551957713,0.0,0.0,4.431213250553108e-39,6.106216376471087e-38,32.63743983015,0.024888144935127348,0.00014787322874341182,0.0,0.0,5.539721503455182e-39,1.8640542335036943e-37,32.644280709475,0.02487014788672328,0.00014372105875323462,0.0,0.0,4.35034175981616e-39,1.9410852184758923e-37
34,31.369403124475,0.024853951162695884,0.00015246113674885915,0.0,0.0,6.120948904804994e-38,7.589962536627867e-37,31.36922407015,0.024886234036451207,0.00014889466079485268,0.0,0.0,7.36828118101822e-38,2.104079952228142e-36,31.3760997698125,0.024868198079271243,0.0001446019962140942,0.0,0.0,5.765866478249333e-38,2.2061159710643212e-36
35,30.1367791845875,0.024852251129643992,0.00015363542158410723,0.0,0.0,8.486594778809006e-37,9.43392725831907e-36,30.1366069445125,0.02488426270952448,0.00014998979372724046,0.0,0.0,9.873556577223713e-37,2.382232573477149e-35,30.143508424399997,0.024866191433025524,0.00014550850237455388,0.0,0.0,7.69964381078653e-37,2.510055286248475e-35
36,28.9391468807875,0.02485048084061593,0.00015489484638671707,0.0,0.0,1.1811116276762847e-35,1.1736505687629746e-34,28.938981946775,0.02488222264821641,0.00015115736146731695,0.0,0.0,1.332677839901096e-35,2.710287010860682e-34,28.945900364487503,0.024864119255403057,0.00014646839554414797,0.0,0.0,1.0358841588713204e-35,2.8623269551972525e-34
37,27.775903310025,0.024848626790381967,0.000156262044523846,0.0,0.0,1.650041522412534e-34,1.4631196759207042e-33,27.77574603165,0.024880105483224616,0.00015240103716187154,0.0,0.0,1.811356257618631e-34,3.104611655791121e-33,27.782672698037498,0.024861971960142254,0.00014749751989779917,0.0,0.0,1.4037938739462655e-34,3.275536889606285e-33
38,26.646448948725002,0.024846676003281026,0.00015775895498759023,0.0,0.0,2.3138347853343036e-33,1.830357953811866e-32,26.6462996202375,0.024877904480518773,0.00015374016621825013,0.0,0.0,2.4783968051472906e-33,3.5880324857233456e-32,26.653226038612498,0.024859734926018864,0.00014858985944941967,0.0,0.0,1.9156809085205387e-33,3.766485374111384e-32
39,25.55018787745,0.02484460965462029,0.0001593913115341839,0.0,0.0,3.2566523828222987e-32,2.301602721514926e-31,25.5500466607625,0.024875607392303645,0.00015519412333873025,0.0,0.0,3.4124826249464907e-32,4.192635735926721e-31,25.5569644957125,0.024857394985761495,0.00014974029568175324,0.0,0.0,2.6316076213757156e-32,4.357937315210065e-31
40,24.4865276349625,0.02484240853784606,0.00016117185615226716,0.0,0.0,4.600050717444e-31,2.9145163457917583e-30,24.486394600587502,0.02487319088263437,0.00015673853485114898,0.0,0.0,4.726434157885788e-31,4.9638190448330575e-30,24.493295673575002,0.024854936041962355,0.00015094866278087877,0.0,0.0,3.63773843847909e-31,5.081912168542328e-30
