level,-kappa-0.01_pressure_bar,-kappa-0.01_NH3_mean,-kappa-0.01_NH3_std,-kappa-0.01_NH3_s__mean,-kappa-0.01_NH3_s__std,-kappa-0.01_NH3_s_p__mean,-kappa-0.01_NH3_s_p__std,-kappa-0.1_pressure_bar,-kappa-0.1_NH3_mean,-kappa-0.1_NH3_std,-kappa-0.1_NH3_s__mean,-kappa-0.1_NH3_s__std,-kappa-0.1_NH3_s_p__mean,-kappa-0.1_NH3_s_p__std,-kappa-1.0_pressure_bar,-kappa-1.0_NH3_mean,-kappa-1.0_NH3_std,-kappa-1.0_NH3_s__mean,-kappa-1.0_NH3_s__std,-kappa-1.0_NH3_s_p__mean,-kappa-1.0_NH3_s_p__std,-kappa-10.0_pressure_bar,-kappa-10.0_NH3_mean,-kappa-10.0_NH3_std,-kappa-10.0_NH3_s__mean,-kappa-10.0_NH3_s__std,-kappa-10.0_NH3_s_p__mean,-kappa-10.0_NH3_s_p__std,-kappa-50.0_pressure_bar,-kappa-50.0_NH3_mean,-kappa-50.0_NH3_std,-kappa-50.0_NH3_s__mean,-kappa-50.0_NH3_s__std,-kappa-50.0_NH3_s_p__mean,-kappa-50.0_NH3_s_p__std,-kappa-100.0_pressure_bar,-kappa-100.0_NH3_mean,-kappa-100.0_NH3_std,-kappa-100.0_NH3_s__mean,-kappa-100.0_NH3_s__std,-kappa-100.0_NH3_s_p__mean,-kappa-100.0_NH3_s_p__std
29,38.05930259625,0.002522986983996816,9.423840353738711e-07,0.0,0.0,0.0,0.0,38.074567155,0.0025409124188590796,4.295387466209834e-06,0.0,0.0,0.0,0.0,38.08330988125,0.0025531042269431054,5.11156920431687e-06,0.0,0.0,0.0,0.0,39.40063804875,0.0031026022309670223,9.794567712072433e-05,0.0,0.0,0.0,0.0,41.977149000000004,0.0025174363814294337,6.368503346025482e-11,0.0,0.0,0.0,0.0,44.11633,0.002517437096685171,0.0,0.0,0.0,0.0,0.0
30,36.64305353,0.0025229810061864555,9.48027174082402e-07,0.0,0.0,0.0,0.0,36.657878672500004,0.002540944637847133,4.374806461598989e-06,0.0,0.0,0.0,0.0,36.666612125,0.002553146914811805,5.210729640822912e-06,0.0,0.0,0.0,0.0,38.017866062500005,0.003219089183374308,0.00011629130956533099,0.0,0.0,0.0,0.0,40.649513875000004,0.0025174362779362127,1.2957767929490156e-10,0.0,0.0,0.0,0.0,42.8210180525,0.002517437096685171,0.0,0.0,0.0,0.0,0.0
31,35.26485026125,0.002522974006133154,9.578115710367666e-07,0.0,0.0,0.0,0.0,35.27924531625,0.002540966802742332,4.383420383290761e-06,0.0,0.0,0.0,0.0,35.287961851249996,0.0025531755081610753,5.308206344529857e-06,0.0,0.0,0.0,0.0,36.6712415325,0.0033246737098088486,0.00011711712656245996,0.0,0.0,0.0,0.0,39.35775025,0.002517436156049371,4.562530187486072e-11,0.0,0.0,0.0,0.0,41.56176575,0.0025174368638545275,0.0,0.0,0.0,0.0,0.0
32,33.924073776250005,0.002522966083837673,9.720410269367354e-07,0.0,0.0,0.0,0.0,33.93804676875,0.0025409670246299356,4.3613923265277614e-06,0.0,0.0,1.7516230804060214e-47,1.9489512740892517e-46,33.94673966375,0.002553175737033598,5.35258258495987e-06,0.0,0.0,1.401298464324817e-48,4.429078627359162e-47,35.36011548875,0.003423985163215548,0.00010201261455744539,0.0,0.0,0.0,0.0,38.101012625,0.0025174361427780243,7.637093555138887e-11,0.0,0.0,0.0,0.0,40.3375975,0.0025174368638545275,0.0,0.0,0.0,0.0,0.0
33,32.62010606875,0.0025229582809843123,9.913995017942828e-07,0.0,0.0,9.668959403841239e-47,4.2327332950721065e-46,32.633667095,0.0025409598636906595,4.410018301902341e-06,0.0,0.0,5.114739394785582e-46,2.605727587985348e-45,32.64232729125,0.0025531621674308555,5.392867341008265e-06,0.0,0.0,1.478369879862682e-46,6.983610288962665e-46,34.08383554625,0.0035284322702791543,8.49893327694224e-05,0.0,0.0,0.0,0.0,36.8784755,0.00251743594952859,8.319290100825818e-11,0.0,0.0,0.0,0.0,39.1475675,0.002517436634283513,2.7355371308931176e-11,0.0,0.0,0.0,0.0
34,31.35233542,0.0025229543744353577,1.0200620527415439e-06,0.0,0.0,3.687516908870756e-45,4.7826601424181495e-45,31.365493921249996,0.0025409605943132194,4.50324131764118e-06,0.0,0.0,8.464543373754057e-45,3.6731528070791635e-44,31.3741151925,0.0025531498885247856,5.451951106569812e-06,0.0,0.0,3.073047532264324e-45,9.820868199181188e-45,32.841717172500005,0.00363697267184034,7.934312605089214e-05,0.0,0.0,0.0,0.0,35.68933416125,0.0025174359232187273,4.562530187486072e-11,0.0,0.0,0.0,0.0,37.9907545,0.002517436631023884,0.0,0.0,0.0,0.0,0.0
35,30.120151701250002,0.0025229539579013365,1.0577226632093806e-06,0.0,0.0,5.324373645048575e-44,6.554544146286167e-44,30.13291794375,0.002540972152724862,4.593019581619546e-06,0.0,0.0,1.2270890392399558e-43,5.224809291109408e-43,30.141492415,0.0025531416634330525,5.508133214572859e-06,0.0,0.0,4.528506182235295e-44,1.420016177171825e-43,31.633082255,0.0037312418996589256,7.56481810220537e-05,0.0,0.0,0.0,0.0,34.532803125,0.0025174359094817193,7.40675960367827e-11,0.0,0.0,0.0,0.0,36.866263125,0.0025174366279970854,2.637365927887283e-11,0.0,0.0,0.0,0.0
36,28.92294837625,0.0025229525710456072,1.092664144887555e-06,0.0,0.0,7.676249929140453e-43,9.037928087877987e-43,28.935331753750003,0.0025410008154576644,4.700098118171249e-06,0.0,0.0,1.772078534739003e-42,7.448830977397347e-42,28.943853905,0.002553134829038754,5.5820933411699535e-06,0.0,0.0,6.5457453865540856e-43,2.063487280895443e-42,30.45729203625,0.003800293327542022,6.558621971732661e-05,0.0,0.0,0.0,0.0,33.40811475,0.0025174357012147084,6.002234455954654e-11,0.0,0.0,0.0,0.0,35.773222125,0.00251743639819324,0.0,0.0,0.0,0.0,0.0
37,27.760124180000002,0.0025229477911489083,1.1154139709110161e-06,0.0,0.0,1.1074702786894893e-41,1.250722327970157e-41,27.77213437125,0.002541045309510082,4.809367551263116e-06,0.0,0.0,2.5611657448677236e-41,1.064399014306757e-40,27.780596770000002,0.0025531182776903734,5.6480614680597715e-06,0.0,0.0,9.460874989679789e-42,3.0030273735926386e-41,29.31374527875,0.003842826256994158,5.0977199605259096e-05,0.0,0.0,0.0,0.0,32.314520875,0.0025174356903880837,4.562530187486072e-11,0.0,0.0,0.0,0.0,34.710784,0.00251743639819324,0.0,0.0,0.0,0.0,0.0
38,26.63107982625,0.0025229391404427586,1.1286249774972464e-06,0.0,0.0,1.598932541045733e-40,1.7373972203788448e-40,26.642724792499997,0.002541101970244199,4.875905837097235e-06,0.0,0.0,3.704816898302294e-40,1.5244874310091772e-39,26.65112297625,0.00255309423210565,5.708911124238982e-06,0.0,0.0,1.368096932283691e-40,4.375966804280943e-40,28.201838521250004,0.003868260078015737,2.97219580362404e-05,0.0,0.0,0.0,0.0,31.25129,0.0025174356783973055,6.712945968195777e-11,0.0,0.0,0.0,0.0,33.678124125000004,0.0025174361653625965,0.0,0.0,0.0,0.0,0.0
