level,-kappa-0.01_pressure_bar,-kappa-0.01_n2_mean_s-2,-kappa-0.01_n2_std_s-2,-kappa-0.1_pressure_bar,-kappa-0.1_n2_mean_s-2,-kappa-0.1_n2_std_s-2,-kappa-1.0_pressure_bar,-kappa-1.0_n2_mean_s-2,-kappa-1.0_n2_std_s-2
15,62.284931706925,-1.584476647041642e-08,1.6185898157198963e-08,62.284849388100014,-1.9564016027812632e-08,1.0635513126647293e-08,62.29023872992499,3.169509984776321e-08,4.05963937309414e-08
16,60.268462486699995,-1.3120467880709575e-08,1.553515697556895e-08,60.26836080715002,-1.6651652354015995e-08,1.0931020422402584e-08,60.27406733975002,3.464087403268845e-08,4.07413032971938e-08
17,58.2990580079,-1.0766081758382614e-08,1.5024411093294493e-08,58.298937020699995,-1.3896203309587491e-08,1.1779845916468042e-08,58.30495458767501,3.690708768377111e-08,4.0999216289490726e-08
18,56.37605372192498,-8.726105121777806e-09,1.4753119124927068e-08,56.37591357837499,-1.1327780957496203e-08,1.2836407682601737e-08,56.38223546742499,3.941611432310788e-08,4.179530064678263e-08
19,54.498788078124996,-6.839737533146543e-09,1.4797643890513205e-08,54.4986290922,-8.932789945852213e-09,1.3914822807402936e-08,54.505248131874986,4.2686261586296e-08,4.307152366943311e-08
20,52.66660257664999,-5.075600264824856e-09,1.5022301730708345e-08,52.666425198925005,-6.697910853128881e-09,1.4909891382799697e-08,52.673334049424994,4.6640270517338574e-08,4.453442973010552e-08
21,50.878841872175,-3.4788012653354223e-09,1.5501589492737105e-08,50.8786466664,-4.651778234989949e-09,1.5673350764982265e-08,50.88583800789999,5.096063775793361e-08,4.6433796806701406e-08
22,49.13485372755,-2.1705946086503904e-09,1.6072625811957856e-08,49.13464138812499,-2.8748789666839492e-09,1.6139261839449882e-08,49.142107984525005,5.543611032699266e-08,4.908368509386807e-08
23,47.433989001,-1.0923998825635141e-09,1.6658534744504996e-08,47.433760344900016,-1.3000926025196358e-09,1.6481415859144764e-08,47.44149520352501,5.994728516844607e-08,5.2710655149127516e-08
24,45.775601684849995,-1.0702032566967547e-10,1.7097445406358998e-08,45.77535767467501,1.9197078193257923e-10,1.6913167740951498e-08,45.783354032774994,6.419323012090305e-08,5.855415476338206e-08
25,44.15904906640001,7.88493795637789e-10,1.7420037552705874e-08,44.1587907566,1.6429792817574794e-09,1.7428380428630287e-08,44.167041936475,6.795844019565222e-08,6.983505500054164e-08
26,42.583691592150004,1.6519824065628252e-09,1.7831714324996588e-08,42.58342019114999,3.0777148831932066e-09,1.7977626859303428e-08,42.591919535124994,7.256713657194552e-08,7.985241891229946e-08
27,41.048893004625,2.4949384776360476e-09,1.834436166867464e-08,41.0486098336625,4.407034731889059e-09,1.838614925704563e-08,41.05735081720001,7.630863390921626e-08,6.406437667219637e-08
28,39.554020343149986,3.240004073451454e-09,1.8810067449912607e-08,39.55372677961251,5.576053432436364e-09,1.8571180954184818e-08,39.56270281275,7.628583781014725e-08,7.584241970840356e-08
29,38.0984439592,3.888834425051948e-09,1.914045206923261e-08,38.09814142047501,6.591934007393121e-09,1.8507674688109335e-08,38.10734508842499,7.523180569355896e-08,7.201295116057939e-08
30,36.6815374714875,4.449356696909546e-09,1.9623334037310955e-08,36.681227409725,7.401686803140024e-09,1.8197211334175837e-08,36.69065039264999,7.417516882680126e-08,5.8272527947906365e-08
31,35.30267787992501,4.933829752971779e-09,2.0260113404551684e-08,35.30236172703749,8.013286687734246e-09,1.781600928894445e-08,35.311994930750004,7.315075348113852e-08,5.337838325751797e-08
32,33.9612455454375,5.331294410852906e-09,2.0933770661035236e-08,33.960924668850005,8.478960068562379e-09,1.7442940581266437e-08,33.9707582788125,7.32305598711747e-08,5.284801055017869e-08
33,32.656624207412506,5.5256330690709235e-09,2.150058716669422e-08,32.656299916862494,8.747733345890708e-09,1.718570171174336e-08,32.6663237048625,6.984248053720872e-08,5.1822024526427086e-08
34,31.388201011350006,5.471024661387133e-09,2.1999291087572725e-08,31.387874509725002,8.744160810846055e-09,1.6975124439431996e-08,31.398077279600002,6.171739484969284e-08,5.724985027506723e-08
35,30.155366467287493,5.1710588339984915e-09,2.2621440698537013e-08,30.155038920575,8.464715684592782e-09,1.6762496951345578e-08,30.16540785275,5.77522377392477e-08,7.243131079147043e-08
36,28.957514536362506,4.596792253061136e-09,2.3253662748966595e-08,28.957187016737507,7.986458739254253e-09,1.6621565888116198e-08,28.9677085329875,6.10879880227554e-08,6.317917832951334e-08
37,27.794042609924997,3.7297969367981965e-09,2.3641900123363905e-08,27.793716134125,7.399488196096686e-09,1.6495907889854937e-08,27.80437711155,6.410862572358651e-08,7.887934713198691e-08
38,26.6643515270125,2.574722314793758e-09,2.3961120290636344e-08,26.664027102212504,6.752509301930268e-09,1.6252153114438153e-08,26.674814813687494,6.024347269324395e-08,8.68927765687356e-08
