case,time_days,dtdz_1bar_K_per_km,dtdz_6bar_K_per_km,dtdz_30bar_K_per_km
$\nu=$10.0,39.35189236111111,-1.5981118232641167,-1.5468536316850077,-1.6321326264744862
$\nu=$10.0,40.509351851851854,-1.598375156545143,-1.5499338552554025,-1.6330168549859745
$\nu=$10.0,41.666753472222226,-1.5977594606586802,-1.5527638104829184,-1.6323200088991643
$\nu=$10.0,42.82414351851852,-1.5975473555333097,-1.5541560908176921,-1.6325896572463516
$\nu=$10.0,43.981576967592595,-1.5975294877927777,-1.5536099086595052,-1.6315710281970082
$\nu=$10.0,45.138961226851855,-1.5985565418185754,-1.554506696250892,-1.632750735297841
$\nu=$10.0,46.29637731481481,-1.5984538265259025,-1.55596262126415,-1.632412258553404
$\nu=$10.0,47.453778935185184,-1.5973564874365245,-1.5570125883243073,-1.632224786290524
$\nu=$10.0,48.61112268518519,-1.5993024646345813,-1.5581773007749116,-1.632545747526851
$\nu=$10.0,49.76853009259259,-1.5973478638939484,-1.5596866934354272,-1.6313980144052675
$\nu=$10.0,50.92599537037037,-1.5986094388547964,-1.560252376442486,-1.6322447779798361
$\nu=$10.0,52.08336805555555,-1.5980267687559166,-1.5610804849175932,-1.6319931044292535
$\nu=$10.0,53.24087962962963,-1.59810777223995,-1.5622668605676333,-1.6312976089603448
$\nu=$10.0,54.398269675925924,-1.596925367919107,-1.5625625844906839,-1.6315372881939076
$\nu=$10.0,55.555671296296296,-1.5980413537065872,-1.5634026500896214,-1.6309104860231227
$\nu=$10.0,56.7130150462963,-1.5966241583962548,-1.5649828632500828,-1.6313364764737386
$\nu=$10.0,57.870491898148146,-1.5979425393929145,-1.5662612909573317,-1.6317013698703924
$\nu=$10.0,59.02780671296296,-1.600013463430402,-1.5649588086933017,-1.631554213100848
$\nu=$10.0,60.18530092592592,-1.5984416531476937,-1.5676604783836248,-1.6313470509108856
$\nu=$10.0,61.342708333333334,-1.5986337551953358,-1.5688248347146099,-1.6315907275151083
$\nu=$10.0,62.50006944444444,-1.598571723225097,-1.5697663435207976,-1.6312077380773957
$\nu=$10.0,63.6574537037037,-1.5991261267041832,-1.571060657379816,-1.6312370551340318
$\nu=$10.0,64.81494212962963,-1.5986937367174023,-1.5718120854555666,-1.6311529633213677
$\nu=$10.0,65.97229166666666,-1.5988964832503385,-1.5737839786870471,-1.6310431610989191
$\nu=$10.0,67.12972222222223,-1.5966114327703074,-1.575105356479718,-1.6309460377133456
$\nu=$10.0,68.28706018518518,-1.596983867343221,-1.5773784069636267,-1.631110336578333
$\nu=$10.0,69.44444444444444,-1.5984232987136648,-1.5799275025293853,-1.6310095391430894
$\nu=$10.0,70.6019386574074,-1.5982467005625192,-1.581059837431026,-1.6308129705618657
$\nu=$10.0,71.75925925925925,-1.5984271934486827,-1.582796932470152,-1.6310703773293498
$\nu=$10.0,72.91669560185186,-1.5983661754620384,-1.58542603767676,-1.6304484656366796
$\nu=$10.0,74.07412037037037,-1.5968506845795505,-1.5872068319474075,-1.6306723632628204
$\nu=$10.0,75.23153935185185,-1.6000383509277687,-1.5871022232555438,-1.6301282785903906
$\nu=$10.0,76.38900462962962,-1.5979971751530981,-1.5910777442335708,-1.6300231697558578
$\nu=$10.0,77.54630787037037,-1.5983638238787545,-1.5903580040645073,-1.630438257181165
$\nu=$10.0,78.70383101851851,-1.599436018200641,-1.5905622465130902,-1.629915768329272
$\nu=$10.0,79.86116898148148,-1.599614335945879,-1.5904461572070614,-1.6302973638721174
$\nu=$10.0,81.01862847222222,-1.5997335059080457,-1.5923711539196335,-1.63009635845301
$\nu=$10.0,82.17601273148148,-1.5986048604962038,-1.5933138489618044,-1.6297310959118148
$\nu=$10.0,83.33336226851851,-1.5985946044039334,-1.5942788093698683,-1.6295431531492812
$\nu=$10.0,84.49080439814814,-1.598160358964511,-1.5945152084184289,-1.6298490637793823
$\nu=$10.0,85.64816550925926,-1.599104089005636,-1.596022786844093,-1.6292954073152557
$\nu=$10.0,86.80564236111111,-1.5995457051661301,-1.5976080806006943,-1.6297614689787159
$\nu=$10.0,87.96299189814815,-1.5977553917723262,-1.6003470321481703,-1.6292786453226655
$\nu=$10.0,89.12037037037037,-1.5979033051644582,-1.6004292814890888,-1.6293781727270897
$\nu=$10.0,90.2778125,-1.5978093559084072,-1.6006004426274325,-1.6293006106992682
$\nu=$10.0,91.43520833333334,-1.598577051662706,-1.600919618328602,-1.6288669854774063
$\nu=$10.0,92.59267361111111,-1.5985865864208504,-1.6007351520846294,-1.6290510865258676
$\nu=$10.0,93.75013310185186,-1.5992153740372905,-1.6034935293722248,-1.6289268160280455
$\nu=$10.0,94.9074826388889,-1.5983790895436647,-1.6039129109030241,-1.6288986482349026
$\nu=$10.0,96.06491319444444,-1.5963318449123176,-1.6066361138589058,-1.62880807624117
$\nu=$10.0,97.22224537037037,-1.598068275758092,-1.6036007903132823,-1.6287402205646404
$\nu=$10.0,98.3796412037037,-1.5981912575314985,-1.6099300250467414,-1.6287426971847243
$\nu=$10.0,99.53715277777778,-1.5993138641101303,-1.606808879761658,-1.628468819334885
$\nu=$10.0,100.69452546296296,-1.59836054369653,-1.6098418468233688,-1.6286467669334563
$\nu=$10.0,101.85195601851852,-1.5983566581753057,-1.6112478920236517,-1.6283272574479288
$\nu=$10.0,103.00927083333333,-1.5994892537045975,-1.6112163097839456,-1.628450144296887
$\nu=$10.0,104.16674768518519,-1.5993278828826065,-1.6141589706977182,-1.6280684989368692
$\nu=$10.0,105.32416666666667,-1.5990121952157084,-1.618400756316908,-1.6281269358067039
$\nu=$10.0,106.48153935185185,-1.5987667134232,-1.6180958361485343,-1.6280068443727131
$\nu=$10.0,107.63893518518519,-1.596155825210158,-1.6154490797568017,-1.6277784219209928
$\nu=$10.0,108.79640046296296,-1.5984435449619794,-1.6145926254773706,-1.6279225294987036
$\nu=$10.0,109.95380787037037,-1.5984227369824215,-1.615646288609263,-1.6277083107419328
$\nu=$10.0,111.11118055555555,-1.598671294554192,-1.6181006561254585,-1.627758343286365
$\nu=$10.0,112.26859953703703,-1.599068852887049,-1.6188681389099695,-1.6275252012185168
$\nu=$10.0,113.42604166666666,-1.5980178681232966,-1.6216209056594413,-1.6276154857546645
$\nu=$10.0,114.58337962962963,-1.5988946671601265,-1.6212446766319146,-1.6274115684100745
$\nu=$10.0,115.7408449074074,-1.5990029743933056,-1.6234989774369482,-1.627430965679632
$\nu=$10.0,116.89818287037038,-1.5981461922427158,-1.624289185106611,-1.627266870011479
$\nu=$10.0,118.0556712962963,-1.5993154311898163,-1.626190370447453,-1.627259514475241
$\nu=$10.0,119.2130787037037,-1.5969343899395017,-1.6265094585343094,-1.6271790631737855
$\nu=$10.0,120.37049768518519,-1.5981974921472648,-1.6261136202225255,-1.6271687370316028
$\nu=$10.0,121.52780092592593,-1.5979734735916744,-1.6275700566701525,-1.6269328594721595
$\nu=$10.0,122.68527777777778,-1.598643092751372,-1.625882552003412,-1.6269006184582482
$\nu=$10.0,123.84268518518519,-1.5985260672495185,-1.6290785298680108,-1.6269019792869788
$\nu=$10.0,125.00008101851851,-1.5982037630698813,-1.6289850910208938,-1.62677390511641
$\nu=$10.0,126.15747685185185,-1.5976243409404225,-1.6332789393403915,-1.6266756012944563
$\nu=$10.0,127.31488425925926,-1.5965450601642301,-1.633740221704413,-1.6264664865058214
$\nu=$10.0,128.47225694444444,-1.5982037315525561,-1.6325340931568253,-1.6264982667616386
$\nu=$10.0,129.62971064814815,-1.5992253322378407,-1.6367275944490876,-1.6263072437021922
$\nu=$10.0,130.78711805555557,-1.6005319354869243,-1.6361395568781376,-1.626341588494879
$\nu=$10.0,131.94450231481483,-1.6003876719357228,-1.6411050432268652,-1.6262698482829154
$\nu=$10.0,133.1019560185185,-1.599287457899125,-1.6457289184483561,-1.6261522810583242
$\nu=$10.0,134.25930555555556,-1.6001351782106386,-1.6509953185756363,-1.6262594137055966
$\nu=$10.0,135.41675925925927,-1.5991185258141052,-1.654868943676214,-1.6259871906239507
$\nu=$10.0,136.57416666666666,-1.6003034253532764,-1.661346096622259,-1.625962089581349
$\nu=$10.0,137.7315162037037,-1.5982574888887864,-1.6587735483495762,-1.625897938761335
$\nu=$10.0,138.88893518518518,-1.599044607114827,-1.6591128239625978,-1.6257786569064174
$\nu=$10.0,140.04640046296296,-1.6002901499807771,-1.6548461370449534,-1.6255948031528755
$\nu=$10.0,141.20373842592593,-1.5991643151594117,-1.6529469699022923,-1.625678686611523
$\nu=$10.0,142.36118055555556,-1.5986939915578635,-1.6536877284216998,-1.6254673300293454
$\nu=$10.0,143.51864583333332,-1.5978814284305976,-1.6548364954905677,-1.6253874303529003
$\nu=$10.0,144.6759837962963,-1.5978754167451845,-1.6557464660164303,-1.6253213275500116
$\nu=$10.0,145.8334375,-1.5979079214866874,-1.6597989146632983,-1.6252760870821938
$\nu=$10.0,146.99082175925926,-1.5989105907630206,-1.6573475147482208,-1.6252501878617098
$\nu=$10.0,148.1482638888889,-1.5983512210462696,-1.6508769489881572,-1.625091837031464
$\nu=$10.0,149.3055787037037,-1.5956929630646453,-1.6509302206035517,-1.6249887397923957
$\nu=$10.0,150.46306712962962,-1.597953561064753,-1.64979627495945,-1.6248742066109858
$\nu=$10.0,151.62048611111112,-1.5986127775831165,-1.6527974932507357,-1.624946520946533
$\nu=$10.0,152.7779050925926,-1.5986789313098044,-1.6509926067253944,-1.6247613799870002
$\nu=$10.0,153.9351851851852,-1.5982934334662517,-1.6531964734274949,-1.62462838756155
$\nu=$10.0,155.09270833333332,-1.5978345727010654,-1.656709308657285,-1.6246361498800772
$\nu=$10.0,156.2501388888889,-1.599688998962544,-1.6585449214966312,-1.624546289305511
$\nu=$10.0,157.40747685185184,-1.5975296660487603,-1.6615710128261314,-1.6244112022330977
$\nu=$10.0,158.56484953703705,-1.599747108879777,-1.6616550755275266,-1.624345094973089
$\nu=$10.0,159.7223263888889,-1.5979864134958264,-1.6659870724149612,-1.624277273594848
$\nu=$10.0,160.87967592592594,-1.5977300574220628,-1.6657678033237635,-1.6241689739703005
$\nu=$10.0,162.03716435185186,-1.598890637482594,-1.6680020171643044,-1.6241173750052702
$\nu=$10.0,163.19447916666667,-1.5999809148275184,-1.6697050125789605,-1.6240179645329211
$\nu=$10.0,164.35189814814814,-1.5984609175126154,-1.6723777612847281,-1.6239977045945644
$\nu=$10.0,165.50929398148148,-1.5987855883903501,-1.6733471528044206,-1.623794970555521
$\nu=$10.0,166.66680555555556,-1.5985766077478036,-1.6748305219237376,-1.6237992507296064
$\nu=$10.0,167.82412037037037,-1.5982162902249317,-1.669799097734818,-1.6236877386497879
$\nu=$10.0,168.98150462962963,-1.5992426510849298,-1.6657597412574814,-1.6236388590238244
$\nu=$10.0,170.13893518518518,-1.5990960353700876,-1.669197353192163,-1.6235553972949475
$\nu=$10.0,171.29642361111112,-1.5997528404191024,-1.6722817887250703,-1.6234411121025696
$\nu=$10.0,172.45375,-1.5985831313208907,-1.672823478590811,-1.6233253039821993
$\nu=$10.0,173.61114583333332,-1.5986788951951114,-1.674550510100669,-1.6232908617452195
$\nu=$10.0,174.76854166666666,-1.5978796652341916,-1.6757003835840483,-1.6231896302872733
$\nu=$10.0,175.92596064814813,-1.5984864755927295,-1.6808178314132605,-1.6231344450923424
$\nu=$10.0,177.08335648148147,-1.598846466214057,-1.6779684112798396,-1.6230358447597693
$\nu=$10.0,178.24085648148147,-1.5987897450729858,-1.6840237304189531,-1.6229446618735457
$\nu=$10.0,179.3982175925926,-1.5984088088211565,-1.6853971903851488,-1.6229510349961502
$\nu=$10.0,180.5555787037037,-1.5992041461678135,-1.6888662819489149,-1.6228368083290339
$\nu=$10.0,181.71310185185186,-1.5991433541041324,-1.6901349641319474,-1.6226837542377746
$\nu=$10.0,182.87037037037038,-1.59780225471836,-1.6965206708113225,-1.6226480965274173
$\nu=$10.0,184.02777777777777,-1.5991083219110565,-1.694835144086423,-1.6225738130725433
$\nu=$10.0,185.18528935185185,-1.59799959722331,-1.6997651349619864,-1.6225245586549977
$\nu=$10.0,186.3426851851852,-1.5997198599474836,-1.6973674922370945,-1.6223571945007949
$\nu=$10.0,187.50006944444445,-1.5982392297981807,-1.6975848373206806,-1.6223589203474382
$\nu=$10.0,188.65743055555555,-1.5981395975226735,-1.6966420488210134,-1.6222599804740687
$\nu=$10.0,189.81494212962963,-1.5994342863542013,-1.702091158607232,-1.622187719812514
$\nu=$10.0,190.97226851851852,-1.5973282810269174,-1.699789260342549,-1.6220056390239825
$\nu=$10.0,192.1297337962963,-1.5989847135279354,-1.7008319606182394,-1.6219563549771383
$\nu=$10.0,193.28716435185186,-1.5992105552300149,-1.702822605163371,-1.6218774234990347
$\nu=$10.0,194.44449074074075,-1.5971025123701788,-1.7006753225007323,-1.6218319045693232
$\nu=$10.0,195.60194444444446,-1.59774923434984,-1.706405157848215,-1.6217801500141285
$\nu=$10.0,196.7592824074074,-1.5975309932698323,-1.7132587336315914,-1.621614747826525
$\nu=$10.0,197.91671296296298,-1.5992426046101036,-1.7204508080958218,-1.6216154256831217
$\nu=$10.0,199.07407407407408,-1.5985668641858195,-1.7219318843511686,-1.6215172767173804
$\nu=$10.0,200.23159722222223,-1.5968562031629963,-1.7211825021199236,-1.621462784557002
$\nu=$10.0,201.3889814814815,-1.5985936991855092,-1.7182627464569546,-1.6213053281539112
$\nu=$10.0,202.54631944444444,-1.5986749248984737,-1.7183506852374077,-1.6212814078027402
$\nu=$10.0,203.70375,-1.5983589067153086,-1.7131056486544631,-1.6211785101044118
$\nu=$10.0,204.86118055555556,-1.59632392048705,-1.7128485518160272,-1.6211652918058606
$\nu=$10.0,206.0186574074074,-1.5984138888249895,-1.714321375624695,-1.6209950239179205
$\nu=$10.0,207.1759722222222,-1.5987809552516805,-1.7163769671514149,-1.620929630945093
$\nu=$10.0,208.33344907407408,-1.5983216521956098,-1.710927829610489,-1.6208664433934876
$\nu=$10.0,209.49078703703702,-1.5992355619752456,-1.7142488105187392,-1.620764393514111
