level,-nu-0.01_pressure_bar,-nu-0.01_theta_mean,-nu-0.01_theta_std,-nu-0.1_pressure_bar,-nu-0.1_theta_mean,-nu-0.1_theta_std,-nu-1.0_pressure_bar,-nu-1.0_theta_mean,-nu-1.0_theta_std
84,1.671938426825,158.99095003829956,0.1386747626675644,1.673159634960156,159.04646064064025,0.1648358970312865,1.6740518820109376,159.00633801849366,0.12883747525162484
85,1.524470215453125,158.99459761924743,0.14367452634911537,1.5256667589929689,159.05357653671265,0.17243959887836688,1.5264684386835936,159.01054143173218,0.1350070354257062
86,1.3865386533835937,158.9981958087921,0.14909675690373217,1.3877093167546874,159.06086001853942,0.1804305386258974,1.388424821313281,159.0145793006897,0.14145215915514947
87,1.2577631828949218,159.00200323806763,0.154701071489794,1.2589066252917969,159.06833326545714,0.18846837316326367,1.259540490609375,159.01888563148498,0.14836210599417057
88,1.1377684990421875,159.00503030525206,0.1606766923153397,1.1388832649101563,159.075045729599,0.19637711378862832,1.1394402623753905,159.02279085739136,0.1557260948528288
89,1.0261850179664063,159.0089792352295,0.16682849770990527,1.0272693098449217,159.0818384929657,0.2036269718656144,1.0277546375210938,159.02766552146912,0.16339928695663483
90,0.9226479134332031,159.00995459487916,0.17323047056624105,0.9236997691996094,159.08590846351623,0.21049496386796132,0.9241187657761719,159.02991645431518,0.17049814486247292
91,0.8267989549218749,159.0153763391876,0.17997629408499233,0.8278162167863281,159.0931375189972,0.21809861138016792,0.8281742993425781,159.03611644493103,0.1789023991253658
92,0.7382839764625,159.00846450737,0.17986051240072015,0.7392647738109375,159.08978467414855,0.21824693106731993,0.7395669637378907,159.03206593154908,0.18103857689361563
93,0.6567637852748047,158.98272700645447,0.17377889141852915,0.6577057931935547,159.06740923751832,0.21156692143685413,0.6579566145679688,159.01163078155517,0.17807776542337186
94,0.5819032473216796,158.94898245437622,0.18087158691588157,0.5828043798169922,159.03543170509337,0.21806778897780335,0.5830086178787109,158.9793228173828,0.18791409096361075
95,0.5133530775011719,158.9069134513092,0.18439531726675049,0.5142114555146484,158.99294729499817,0.2204690083587097,0.5143743653748047,158.936822964859,0.19342872580792678
96,0.45077130730253906,158.8777276967621,0.18953831587367437,0.4515850195949219,158.96391841537476,0.2258784865464587,0.45171170098125,158.90822100288392,0.20269560825167543
97,0.3938340798525391,158.8608186997223,0.2045837027378938,0.3946018991529297,158.94944133987426,0.2409035030437748,0.3946970983238281,158.89273039787292,0.22209920009494563
98,0.34223420259746096,158.90290698776246,0.21777981049109324,0.3429550569304688,158.99246401168824,0.25839890845360863,0.3430236912921875,158.93994956321717,0.2453713308002975
99,0.29577347999541015,159.74344119552612,0.4429437725275559,0.29645023959335937,159.86126175689697,0.4841617957575297,0.2964977022875,159.81177599136353,0.47292119780829783
