pressure_bar,temperature_K,H2O_D1mm_timescale_s,H2O_D2mm_timescale_s,H2O_D5mm_timescale_s,H2O_D10mm_timescale_s,NH3_D1mm_timescale_s,NH3_D2mm_timescale_s,NH3_D5mm_timescale_s,NH3_D10mm_timescale_s,realistic_pressure_bar,H2O_realistic_timescale_s,NH3_realistic_timescale_s
2.66643515e+01,4.11751782e+02,2.34000891e+00,9.36003563e+00,5.85002227e+01,2.34000891e+02,2.25724900e-01,9.02899599e-01,5.64312249e+00,2.25724900e+01,2.66643515e+01,2.39629935e-02,2.25780842e-03
2.55678457e+01,4.06841430e+02,2.65720011e+00,1.06288004e+01,6.64300027e+01,2.65720011e+02,2.33903069e-01,9.35612277e-01,5.84757673e+00,2.33903069e+01,2.55678457e+01,2.72781096e-02,2.33961377e-03
2.45039329e+01,4.01931012e+02,3.02945181e+00,1.21178072e+01,7.57362952e+01,3.02945181e+02,2.42825447e-01,9.71301788e-01,6.07063618e+00,2.42825447e+01,2.45039329e+01,3.11873564e-02,2.42886425e-03
2.34720246e+01,3.97020515e+02,3.46821575e+00,1.38728630e+01,8.67053937e+01,3.46821575e+02,2.52574418e-01,1.01029767e+00,6.31436045e+00,2.52574418e+01,2.34720246e+01,3.58205832e-02,2.52638411e-03
2.24715359e+01,3.92109928e+02,3.98770707e+00,1.59508283e+01,9.96926767e+01,3.98770707e+02,2.63243930e-01,1.05297572e+00,6.58109824e+00,2.63243930e+01,2.24715359e+01,4.13414123e-02,2.63311332e-03
2.15018853e+01,3.87199256e+02,4.60566069e+00,1.84226428e+01,1.15141517e+02,4.60566069e+02,2.74941392e-01,1.09976557e+00,6.87353480e+00,2.74941392e+01,2.15018853e+01,4.79575941e-02,2.75012659e-03
2.05624951e+01,3.82288501e+02,5.34432341e+00,2.13772936e+01,1.33608085e+02,5.34432341e+02,2.87790012e-01,1.15116005e+00,7.19475031e+00,2.87790012e+01,2.05624951e+01,5.59351181e-02,2.87865667e-03
1.96527914e+01,3.77377674e+02,6.23175495e+00,2.49270198e+01,1.55793874e+02,6.23175495e+02,3.01931521e-01,1.20772608e+00,7.54828803e+00,3.01931521e+01,1.96527914e+01,6.56176070e-02,3.02012172e-03
1.87722039e+01,3.72466796e+02,7.30355073e+00,2.92142029e+01,1.82588768e+02,7.30355073e+02,3.17529478e-01,1.27011791e+00,7.93823695e+00,3.17529478e+01,1.87722039e+01,7.74534487e-02,3.17615833e-03
1.79201663e+01,3.67555895e+02,8.60513774e+00,3.44205510e+01,2.15128444e+02,8.60513774e+02,3.34773285e-01,1.33909314e+00,8.36933213e+00,3.34773285e+01,1.79201663e+01,9.20343228e-02,3.34866174e-03
1.70961159e+01,3.62645002e+02,1.01948508e+01,4.07794033e+01,2.54871271e+02,1.01948508e+03,3.53883022e-01,1.41553209e+00,8.84707556e+00,3.53883022e+01,1.70961159e+01,1.10150864e-01,3.53983423e-03
1.62994942e+01,3.57734154e+02,1.21480863e+01,4.85923450e+01,3.03702156e+02,1.21480863e+03,3.75115344e-01,1.50046138e+00,9.37788361e+00,3.75115344e+01,1.62994942e+01,1.32874881e-01,3.75224412e-03
1.55297465e+01,3.52823410e+02,1.45629408e+01,5.82517633e+01,3.64073520e+02,1.45629408e+03,3.98770605e-01,1.59508242e+00,9.96926513e+00,3.98770605e+01,1.55297465e+01,1.61683366e-01,3.98889718e-03
1.47863222e+01,3.47912796e+02,1.75679753e+01,7.02719012e+01,4.39199382e+02,1.75679753e+03,4.25201968e-01,1.70080787e+00,1.06300492e+01,4.25201968e+01,1.47863222e+01,1.98651634e-01,4.25332776e-03
1.40686745e+01,3.43002361e+02,2.13328735e+01,8.53314941e+01,5.33321838e+02,2.13328735e+03,4.54826066e-01,1.81930426e+00,1.13706516e+01,4.54826066e+01,1.40686745e+01,2.46762729e-01,4.54970557e-03
1.33762609e+01,3.38092089e+02,2.60833967e+01,1.04333587e+02,6.52084918e+02,2.60833967e+03,4.88137131e-01,1.95254852e+00,1.22034283e+01,4.88137131e+01,1.33762609e+01,3.10424691e-01,4.88297721e-03
1.27085430e+01,3.33182003e+02,3.21222172e+01,1.28488869e+02,8.03055429e+02,3.21222172e+03,5.25723349e-01,2.10289340e+00,1.31430837e+01,5.25723349e+01,1.27085430e+01,3.96371989e-01,5.25902990e-03
1.20649866e+01,3.28271823e+02,3.98590840e+01,1.59436336e+02,9.96477100e+02,3.98590840e+03,5.68291064e-01,2.27316426e+00,1.42072766e+01,5.68291064e+01,1.20649866e+01,5.15341836e-01,5.68493395e-03
1.14450618e+01,3.23361220e+02,4.98533562e+01,1.99413425e+02,1.24633390e+03,4.98533562e+03,6.16690767e-01,2.46676307e+00,1.54172692e+01,6.16690767e+01,1.14450618e+01,6.85385322e-01,6.16920315e-03
1.08482428e+01,3.18448149e+02,6.28808756e+01,2.51523502e+02,1.57202189e+03,6.28808756e+03,6.71972160e-01,2.68788864e+00,1.67993040e+01,6.71972160e+01,1.08482428e+01,9.39150073e-01,6.72234629e-03
1.02740069e+01,3.13529122e+02,8.00313763e+01,3.20125505e+02,2.00078441e+03,8.00313763e+03,7.35440090e-01,2.94176036e+00,1.83860023e+01,7.35440090e+01,1.02740069e+01,1.34159277e+00,7.35742765e-03
9.72183416e+00,3.08594102e+02,1.02884841e+02,4.11539363e+02,2.57212102e+03,1.02884841e+04,8.08814631e-01,3.23525853e+00,2.02203658e+01,8.08814631e+01,9.72183416e+00,2.04138183e+00,8.09166925e-03
9.19121919e+00,3.03634477e+02,1.33733413e+02,5.34933651e+02,3.34333532e+03,1.33733413e+04,8.94256626e-01,3.57702650e+00,2.23564157e+01,8.94256626e+01,9.19121919e+00,3.44932690e+00,8.94669926e-03
