level,-nu-0.01_pressure_bar,-nu-0.01_H2O_vapor_mean,-nu-0.01_H2O_vapor_std,-nu-0.01_H2O_l__mean,-nu-0.01_H2O_l__std,-nu-0.01_H2O_l_p__mean,-nu-0.01_H2O_l_p__std,-nu-0.1_pressure_bar,-nu-0.1_H2O_vapor_mean,-nu-0.1_H2O_vapor_std,-nu-0.1_H2O_l__mean,-nu-0.1_H2O_l__std,-nu-0.1_H2O_l_p__mean,-nu-0.1_H2O_l_p__std,-nu-1.0_pressure_bar,-nu-1.0_H2O_vapor_mean,-nu-1.0_H2O_vapor_std,-nu-1.0_H2O_l__mean,-nu-1.0_H2O_l__std,-nu-1.0_H2O_l_p__mean,-nu-1.0_H2O_l_p__std,-nu-10.0_pressure_bar,-nu-10.0_H2O_vapor_mean,-nu-10.0_H2O_vapor_std,-nu-10.0_H2O_l__mean,-nu-10.0_H2O_l__std,-nu-10.0_H2O_l_p__mean,-nu-10.0_H2O_l_p__std,-nu-100.0_pressure_bar,-nu-100.0_H2O_vapor_mean,-nu-100.0_H2O_vapor_std,-nu-100.0_H2O_l__mean,-nu-100.0_H2O_l__std,-nu-100.0_H2O_l_p__mean,-nu-100.0_H2O_l_p__std
27,41.0206100175,0.02498192034009844,9.107073232213199e-06,0.0,0.0,0.0,0.0,41.02216331875,0.02499174028635025,1.26602883174954e-05,0.0,0.0,0.0,0.0,41.034741235000006,0.0249658690886572,3.899411908646685e-07,0.0,0.0,0.0,0.0,41.31880564625,0.024964526323601605,2.2640909591956466e-10,0.0,0.0,0.0,0.0,43.58117275,0.024964548557065428,4.0013394079610087e-10,0.0,0.0,0.0,0.0
28,39.5268869075,0.024981278901919722,9.867417737095709e-06,0.0,0.0,1.1210387714598537e-47,1.6542445590950463e-46,39.52836526625,0.024991591482423244,1.304694823098219e-05,0.0,0.0,0.0,0.0,39.5412324275,0.024964930912479758,3.5444344713677295e-07,0.0,0.0,3.503246160812043e-48,6.997728725546945e-47,39.83091463875,0.024964526298455893,7.208581117174535e-11,0.0,0.0,0.0,0.0,42.146858720000004,0.024964546876959502,4.040255087586421e-10,0.0,0.0,0.0,0.0
29,38.0724243675,0.024980558985844253,1.0544716216983307e-05,0.0,0.0,3.0548306522281012e-46,2.3061796835906543e-45,38.073829835,0.024991419590078293,1.3547952168618075e-05,0.0,0.0,2.802596928649634e-48,6.260527312210774e-47,38.086982264999996,0.024964124455116688,2.767722476235608e-07,0.0,0.0,1.317220556465328e-46,9.083224860705263e-46,38.382013488750005,0.024964526295661926,0.0,0.0,0.0,0.0,0.0,40.7503805,0.024964546784758568,0.0,0.0,0.0,0.0,0.0
30,36.65659694,0.02497981705516577,1.1091620343907434e-05,0.0,0.0,4.536703778251595e-45,3.334993470834029e-44,36.657931205000004,0.024991305616684258,1.4002836495332444e-05,0.0,0.0,8.26766093951642e-47,6.957542129147995e-46,36.67136499875,0.02496353155653924,1.936351136618952e-07,0.0,0.0,1.9576139546617695e-45,1.3090887278698996e-44,36.971476345,0.024964526295661926,0.0,0.0,0.0,0.0,0.0,39.390957375,0.02496454675588757,2.3009322702998934e-10,0.0,0.0,0.0,0.0
31,35.27878150625,0.02497928582224995,1.144618625911771e-05,0.0,0.0,6.605791025750404e-44,4.831061330813707e-43,35.280047195,0.024991289358586074,1.4146908805356184e-05,0.0,0.0,1.3221251010904649e-45,1.0141016788036325e-44,35.29375810875,0.0249631279297173,1.395011472567505e-07,0.0,0.0,2.842884259498973e-44,1.898005869721138e-43,35.59868251625,0.024964526295661926,0.0,0.0,0.0,0.0,0.0,38.067824875,0.02496454511489719,5.673818611976717e-10,0.0,0.0,0.0,0.0
32,33.93835976625,0.024979047797620297,1.1491351380606661e-05,0.0,0.0,9.572395926664615e-43,6.994472995334079e-42,33.93955869,0.024991354966536164,1.3859450891232973e-05,0.0,0.0,1.9499068131079828e-44,1.4742116575005062e-43,33.9535430675,0.02496281907148659,1.3368251754549106e-07,0.0,0.0,4.129199178333617e-43,2.7549705662013824e-42,34.26301295875,0.024964526295661926,0.0,0.0,0.0,0.0,0.0,36.780236,0.02496454492211342,0.0,0.0,0.0,0.0,0.0
33,32.6347161725,0.02497888660803437,1.1496643842620971e-05,0.0,0.0,1.387363532006032e-41,1.0128370073870872e-40,32.6358500225,0.024991458292119205,1.3316342213049633e-05,0.0,0.0,2.8340210467121183e-43,2.141125048515322e-42,32.65010662625,0.024962492503225804,1.8333660100819349e-07,0.0,0.0,5.995665674383378e-42,3.99960535415026e-41,32.96385423625,0.024964526295661926,0.0,0.0,0.0,0.0,0.0,35.5274595,0.02496454492211342,0.0,0.0,0.0,0.0,0.0
34,31.3672384875,0.024978531460277738,1.175895636904161e-05,0.0,0.0,2.0111344055200055e-40,1.4668986695452158e-39,31.36830925625,0.024991565241478383,1.2769800188041729e-05,0.0,0.0,4.1164417571144036e-42,3.1105342094573244e-41,31.38283758125,0.024962037759833036,2.718671198961667e-07,0.0,0.0,8.706855413750642e-41,5.807814859305329e-40,31.7005939275,0.024964526295661926,0.0,0.0,0.0,0.0,0.0,34.3087795,0.024964543778449297,9.067925922727943e-10,0.0,0.0,0.0,0.0
35,30.135317652500003,0.024977917513810097,1.2280686001964753e-05,0.0,0.0,2.915966909086054e-39,2.1248425880699472e-38,30.13632749625,0.024991675060242413,1.2353128671285903e-05,0.0,0.0,5.979199366453714e-41,4.519876126888788e-40,30.15112678,0.024961359292268753,3.736050208813912e-07,0.0,0.0,1.2646288084571819e-39,8.435121506164963e-39,30.472625125,0.024964526295661926,0.0,0.0,0.0,0.0,0.0,33.1234945,0.02496454305946827,0.0,0.0,0.0,0.0,0.0
36,28.938348298749997,0.02497713613975793,1.3063274858331406e-05,0.0,0.0,4.2286991905079275e-38,3.078267452804958e-37,28.9392993175,0.024991797344759106,1.2068322356553087e-05,0.0,0.0,8.686521620150333e-40,6.569197793615143e-39,28.954366812499998,0.02496046459581703,4.876290815493555e-07,0.0,0.0,1.8371251599845385e-38,1.2253010714889842e-37,29.27934415375,0.024964526295661926,0.0,0.0,0.0,0.0,0.0,31.970917125,0.02496454305946827,0.0,0.0,0.0,0.0,0.0
37,27.77572804625,0.02497628431301564,1.4089938037967728e-05,0.0,0.0,6.1335107689702875e-37,4.460016828074415e-36,27.776623035,0.024991936894133687,1.1748805981183076e-05,0.0,0.0,1.2621937674213747e-38,9.549500125810773e-38,27.791954318749998,0.024959641349501908,6.789650538458436e-07,0.0,0.0,2.6691973119727098e-37,1.7801617333455602e-36,28.12015050875,0.024964526295661926,0.0,0.0,0.0,0.0,0.0,30.850373875000002,0.02496454288531095,5.422753151231822e-10,0.0,0.0,0.0,0.0
38,26.646859063749996,0.024975437545217572,1.5198154202392174e-05,0.0,0.0,8.89799792945496e-36,6.46293814142132e-35,26.647700837500004,0.024992107157595457,1.1252693719777595e-05,0.0,0.0,1.8343156166092065e-37,1.3884266762446465e-36,26.663290145,0.0249594258768484,1.2102239661282346e-06,0.0,0.0,3.878635309440626e-36,2.5866101701424015e-35,26.9944469275,0.024964526295661926,0.0,0.0,0.0,0.0,0.0,29.761202375,0.024964541213586926,1.7590905992720864e-10,0.0,0.0,0.0,0.0
39,25.5511462625,0.024974629188887775,1.623026139098108e-05,0.0,0.0,1.2911054153116483e-34,9.367319295041248e-34,25.5519375025,0.02499225733615458,1.0924955393508356e-05,0.0,0.0,2.6660997403209256e-36,2.0189418682872471e-35,25.5677808775,0.024960050358437003,2.7698777308128385e-06,0.0,0.0,5.636663426343478e-35,3.7587773710347944e-34,25.901640724999996,0.024964526295661926,0.0,0.0,0.0,0.0,0.0,28.70275525,0.02496454119682312,0.0,0.0,0.0,0.0,0.0
