level,-kappa-0.01_pressure_bar,-kappa-0.01_rms_vel1,-kappa-0.01_rms_vel1_temporal_std,-kappa-0.1_pressure_bar,-kappa-0.1_rms_vel1,-kappa-0.1_rms_vel1_temporal_std,-kappa-1.0_pressure_bar,-kappa-1.0_rms_vel1,-kappa-1.0_rms_vel1_temporal_std
69,5.358242123437501,0.04014729286661402,0.01714300946074009,5.3640677637500005,0.06025938339969659,0.012195240103538976,5.483515189999999,0.05424466291622918,0.013393335331315107
70,5.0206328271875,0.05784879102376583,0.02363046174383916,5.0266581790625,0.07714106857543032,0.017264436147306408,5.14481092953125,0.06853920840617829,0.01606812831060049
71,4.69875761765625,0.08098202831587827,0.031834134504086335,4.70491148890625,0.0980823213924567,0.02210528203637318,4.82171375671875,0.08517625182557854,0.020356355950780756
72,4.39200974,0.10387175646801336,0.03985039668904359,4.3982816565625,0.12110344174074437,0.02665369579132002,4.513605814687501,0.09909939011920346,0.023238895957618706
73,4.0998968421874995,0.12453383903095348,0.04861233685017154,4.10628442484375,0.14294378215881898,0.03521166457448112,4.2199717460937505,0.11234409774646892,0.02884751818604918
74,3.8219794657812503,0.1421134925481899,0.058659205484687504,3.82847040875,0.1610055830440157,0.04815130941691611,3.9403553453125,0.12826882695874653,0.03586739578704036
75,3.5578298040625,0.1566386614650879,0.06991846495006185,3.5644081995312504,0.17410481646521211,0.057750307766860874,3.6743267481250004,0.1455248068879342,0.041934183774996664
76,3.3070228212500004,0.16838099866461242,0.08094734860972116,3.3136767634375,0.18233714940240364,0.057493895869524705,3.4214719321875,0.1598974486206332,0.04617656601200537
77,3.0691392253125,0.17719863240657704,0.0895690387418732,3.0758594834374997,0.18728720839911692,0.04923943563054189,3.18137878,0.1693080079766819,0.04700637334932233
78,2.8437682359375,0.18298239432275498,0.09516796310314098,2.85054262703125,0.19134760884267607,0.041112047577060835,2.9536391590625,0.17396637062340586,0.04443665001689313
79,2.63050616234375,0.18641623716164446,0.09846710046971247,2.63731619109375,0.1973866120914356,0.04109139935089032,2.7378459334375,0.17534362973655637,0.041654427963225805
80,2.4289517125,0.18890829966966657,0.09902139883677856,2.4357711632031247,0.20822213939525486,0.04871856421719696,2.5335998209375,0.17877646013681756,0.04554235470738432
81,2.2387025828125,0.19160095798119342,0.09696582609521835,2.245502898359375,0.2253171913927434,0.05832084849143899,2.340508503671875,0.19050481043006928,0.05431951929584149
82,2.059362532890625,0.19617006236514528,0.09634821961641012,2.066115498359375,0.24569519927025038,0.06326549083243438,2.1581887084374998,0.21118011537232928,0.0600687125139171
83,1.89054259640625,0.20430955199857828,0.10027786133443393,1.8972232942187501,0.2654391377084889,0.06202922497573535,1.986264971328125,0.2354895211736301,0.06293391421651974
84,1.73186201515625,0.21613032598138848,0.10828533618006686,1.738447412265625,0.2835849926277529,0.06072414297613531,1.8243689083593748,0.2583153026730454,0.06635937557919325
85,1.5829447121875,0.23106653938426117,0.11865832428552729,1.5894139703125,0.2994547549370968,0.06563348985347316,1.67213882796875,0.276900148537785,0.07062749103082756
86,1.44341957203125,0.24723603190881066,0.12990559448046973,1.4497524332031249,0.3121723977570924,0.07427530719124574,1.529217287890625,0.2903110345727651,0.07453188427187998
87,1.3129211649218748,0.2627713544158603,0.14086546898637634,1.319096408671875,0.3231219062333385,0.0818530789307145,1.3952521718750002,0.2993397612786313,0.07740040152516021
88,1.1910869308984375,0.2772376030327147,0.14976139348032105,1.197085736328125,0.33317431841174266,0.08552033561815355,1.26989656828125,0.30514831447696045,0.07957632871317054
89,1.0775574319531251,0.2904489837749999,0.15370067741722482,1.0833648786328125,0.3412661402844031,0.08429389719112501,1.152808788203125,0.3084212363990353,0.08181656877520427
90,0.9719779505859375,0.3010682964159836,0.15131570932303037,0.9775840836328126,0.3456301639516905,0.0799584558472916,1.0436519984375,0.3083693275006136,0.08464785157293649
91,0.874001283671875,0.3079660974831996,0.14437881533483765,0.879399599453125,0.34479107920762003,0.0750579130400966,0.9420939424609376,0.3036461605747668,0.08741139465023381
92,0.7832886691796875,0.3111998628451527,0.13512910703003067,0.78847308609375,0.33768452830419204,0.07154364925146962,0.84780583765625,0.29307954842903805,0.08699359629224578
93,0.6995076755859375,0.3106445171737028,0.12435841549449979,0.704471292578125,0.32341366412588046,0.06940121289225708,0.7604632719140625,0.27573278521224265,0.08092205050922513
94,0.6223322668945312,0.30440244189426835,0.11188562008387314,0.6270678764453125,0.3018837675557362,0.06702957142096039,0.679747192421875,0.2508229580277894,0.07025777370119556
95,0.5514398650976562,0.28794115901949524,0.09705303230558332,0.5559407323828125,0.27300168605022973,0.062179820912246775,0.6053436575,0.21808980685545223,0.0569418884474208
96,0.48651125083984376,0.25273945156462585,0.07850591311435477,0.49077218238281256,0.23360229488800668,0.05297731527788668,0.5369478298242187,0.1763228361786675,0.04288767666912485
97,0.427231345859375,0.18834769809672622,0.054133168375952466,0.43124777839843753,0.17365482801778012,0.03811195686951777,0.47425821173828125,0.12207064721993541,0.027998370397905658
98,0.3733054843945312,0.09752728225196826,0.026023656534917304,0.3770716752929687,0.09109117859039498,0.01874608958046674,0.4169902796679687,0.05957328010216935,0.012687631058760255
99,0.3245820644042969,0.026480175547125385,0.006652594255536525,0.32809817328124996,0.025919682524605612,0.004744554313100209,0.36503567232421874,0.01874450360865303,0.004589259415858949
