level,-nu-0.01_pressure_bar,-nu-0.01_NH3_mean,-nu-0.01_NH3_std,-nu-0.01_NH3_s__mean,-nu-0.01_NH3_s__std,-nu-0.01_NH3_s_p__mean,-nu-0.01_NH3_s_p__std,-nu-0.1_pressure_bar,-nu-0.1_NH3_mean,-nu-0.1_NH3_std,-nu-0.1_NH3_s__mean,-nu-0.1_NH3_s__std,-nu-0.1_NH3_s_p__mean,-nu-0.1_NH3_s_p__std,-nu-1.0_pressure_bar,-nu-1.0_NH3_mean,-nu-1.0_NH3_std,-nu-1.0_NH3_s__mean,-nu-1.0_NH3_s__std,-nu-1.0_NH3_s_p__mean,-nu-1.0_NH3_s_p__std,-nu-10.0_pressure_bar,-nu-10.0_NH3_mean,-nu-10.0_NH3_std,-nu-10.0_NH3_s__mean,-nu-10.0_NH3_s__std,-nu-10.0_NH3_s_p__mean,-nu-10.0_NH3_s_p__std,-nu-100.0_pressure_bar,-nu-100.0_NH3_mean,-nu-100.0_NH3_std,-nu-100.0_NH3_s__mean,-nu-100.0_NH3_s__std,-nu-100.0_NH3_s_p__mean,-nu-100.0_NH3_s_p__std
40,24.534693285,0.002631735620438121,8.45646930069969e-06,0.0,0.0,9.7791723164309e-38,2.706160661799589e-37,24.54143929375,0.0027259866265812887,8.768005273125682e-06,0.0,0.0,4.081104325106104e-38,9.84161880327093e-38,24.689658465,0.002723607251071371,3.6279295309158487e-06,0.0,0.0,7.719871578219431e-39,2.3226011235552302e-38,26.163109,0.00251743383705616,0.0,0.0,0.0,0.0,0.0,31.877344375,0.002517435932531953,0.0,0.0,0.0,0.0,0.0
41,23.50270830125,0.002632485176436603,8.6166494451291e-06,0.0,0.0,1.4207848529307574e-36,3.935297617508367e-36,23.50938333625,0.002726644960930571,9.217596953629472e-06,0.0,0.0,5.920057712680944e-37,1.4286053069235088e-36,23.65908718625,0.0027498436693567784,3.5139361093378513e-06,0.0,0.0,1.1225012844284629e-37,3.3772233123942803e-37,25.146572702500002,0.00251743383705616,0.0,0.0,0.0,0.0,0.0,30.93013375,0.002517435932531953,0.0,0.0,0.0,0.0,0.0
42,22.502108215,0.0026331745400093496,8.766845520842221e-06,0.0,0.0,2.064286744963604e-35,5.722732658516114e-35,22.508706779999997,0.0027273915553232657,9.541627318158454e-06,0.0,0.0,8.588127556678597e-36,2.0739855496410624e-35,22.65977166,0.0027869434651220217,4.29963924405284e-06,0.0,0.0,1.6322067259476972e-36,4.910852179357722e-36,24.1600191725,0.00251743383705616,0.0,0.0,0.0,0.0,0.0,30.009691072499997,0.002517435699701309,0.0,0.0,0.0,0.0,0.0
43,21.532312835,0.0026338873703498395,9.012504027798115e-06,0.0,0.0,2.9992113163610335e-34,8.321708968826964e-34,21.538830625,0.002728306947508827,1.0345274298966302e-05,0.0,0.0,1.245868534440115e-34,3.011091288165985e-34,21.69111691875,0.002847556122811511,7.2169337601651375e-06,0.0,0.0,2.3733016823387123e-35,7.140751278796995e-35,23.20287381375,0.00251743383705616,0.0,0.0,0.0,0.0,0.0,29.115292875,0.002517435699701309,0.0,0.0,0.0,0.0,0.0
44,20.59274642375,0.0026346585338469595,9.361044158201812e-06,0.0,0.0,4.357247379008889e-33,1.2099821738204382e-32,20.599179003125002,0.0027293990100733935,1.1731706830942224e-05,0.0,0.0,1.8072459231225162e-33,4.371564002645548e-33,20.752529336875,0.002944845051737502,1.0727069210181857e-05,0.0,0.0,3.450583975082887e-34,1.0382295785362754e-33,22.27456562,0.00251743383705616,0.0,0.0,0.0,0.0,0.0,28.246237625000003,0.002517435699701309,0.0,0.0,0.0,0.0,0.0
45,19.682837071875,0.0026354847328038888,9.753792997510738e-06,0.0,0.0,6.329203012494963e-32,1.7590038606592244e-31,19.6891796825,0.002730648445780389,1.3110579236937789e-05,0.0,0.0,2.6211776371863503e-32,6.346099572615718e-32,19.84341835875,0.003079904607729986,1.4898240570277763e-05,0.0,0.0,5.016064628311834e-33,1.5092966687684733e-32,21.37453134625,0.0025174336743075403,1.0679771834846883e-10,0.0,0.0,0.0,0.0,27.40184,0.0025174354668706656,0.0,0.0,0.0,0.0,0.0
46,18.802015493125,0.002636383770382963,1.0135529167249572e-05,0.0,0.0,9.191171168780064e-31,2.5564042568454713e-30,18.808264445625,0.002732101084780879,1.4266249232010339e-05,0.0,0.0,3.800687697463019e-31,9.210530834818461e-31,18.963200895625,0.003239291590405628,2.3427048205939943e-05,0.0,0.0,7.289998192884956e-32,2.193564578105423e-31,20.502210090625,0.0025174336042255163,0.0,0.0,0.0,0.0,0.0,26.58143525,0.0025174354668706656,0.0,0.0,0.0,0.0,0.0
47,17.94971718375,0.0026373609674628824,1.0472336986300549e-05,0.0,0.0,1.3341845025118407e-29,3.713676742755965e-29,17.95586832,0.002733797533204779,1.5488522561692212e-05,0.0,0.0,5.5087568693820145e-30,1.33630910506183e-29,18.11130292125,0.003402899308362976,3.5554799921641626e-05,0.0,0.0,1.0591015437061452e-30,3.186933018969345e-30,19.65704842625,0.0025174336042255163,0.0,0.0,0.0,0.0,0.0,25.784375375,0.0025174354668706656,0.0,0.0,0.0,0.0,0.0
48,17.125381216875,0.0026383921115193517,1.0785410181190164e-05,0.0,0.0,1.935559805134255e-28,5.391517294222923e-28,17.13143072125,0.002735815831110813,1.7050263210044432e-05,0.0,0.0,7.979833992104394e-29,1.9377305862673751e-28,17.287156855,0.003559367848094553,4.290200263420987e-05,0.0,0.0,1.5379047999000118e-29,4.6278302299529934e-29,18.838496256875,0.0025174336042255163,0.0,0.0,0.0,0.0,0.0,25.01002975,0.002517435252084397,6.225499139391776e-11,0.0,0.0,0.0,0.0
49,16.328449789375,0.0026394320083782076,1.1240298939556837e-05,0.0,0.0,2.8057140508239663e-27,7.820734032363186e-27,16.3343939125,0.002738272866583429,1.897301664815457e-05,0.0,0.0,1.1550096167897103e-27,2.807648462457131e-27,16.490197265000003,0.0037068521209293976,4.272796812403867e-05,0.0,0.0,2.2316152851371825e-28,6.715529590578304e-28,18.046009375,0.0025174336042255163,0.0,0.0,0.0,0.0,0.0,24.257785499999997,0.002517435234040022,0.0,0.0,0.0,0.0,0.0
50,15.558369201249999,0.0026405001434031874,1.1985024492913556e-05,0.0,0.0,4.062562003674895e-26,1.1331459103562638e-25,15.564204281250001,0.0027412373987026513,2.13414885969392e-05,0.0,0.0,1.669950926401241e-26,4.0637396651091643e-26,15.719860824374999,0.0038302907367469743,4.367515645874946e-05,0.0,0.0,3.235201886504937e-27,9.735894904899124e-27,17.279047421875,0.0025174336042255163,0.0,0.0,0.0,0.0,0.0,23.527045375,0.0025174352317117155,2.3166356540904853e-11,0.0,0.0,0.0,0.0
51,14.81459032125,0.002641768674599007,1.2917826724384379e-05,0.0,0.0,5.873742056583284e-25,1.639323633170726e-24,14.820312288750001,0.0027446801218902694,2.4033892880564846e-05,0.0,0.0,2.4109499373687756e-25,5.873245358355861e-25,14.975590393125,0.003912567568011582,4.237144674578477e-05,0.0,0.0,4.6842805599606995e-26,1.4097170780287355e-25,16.53707482,0.0025174335923511533,7.303574794934365e-11,0.0,0.0,0.0,0.0,22.817226875,0.0025174347939901053,8.646140167316021e-11,0.0,0.0,0.0,0.0
52,14.096566244375,0.0026434976378222927,1.3909751779890017e-05,0.0,0.0,8.475816899182048e-24,2.3668968012188272e-23,14.102171844375,0.0027487632295815274,2.6969208712728543e-05,0.0,0.0,3.474026530369345e-24,8.472033335049253e-24,14.25683763125,0.003966178341535852,3.229066150565351e-05,0.0,0.0,6.771278011635554e-25,2.0378616319797856e-24,15.819560601875,0.002517433549044654,2.8779139054102186e-10,0.0,0.0,0.0,0.0,22.127765375,0.0025174356647767126,1.486291332962423e-10,0.0,0.0,0.0,0.0
53,13.40375519375,0.0026457547785248606,1.495885618105051e-05,0.0,0.0,1.219917281620118e-22,3.408484582616749e-22,13.409240750625,0.002753852755529806,3.0230352336692245e-05,0.0,0.0,4.9931244910177485e-23,1.2189432968906358e-22,13.5630615,0.004009429965633899,3.7279187281425224e-05,0.0,0.0,9.76697629618321e-24,2.9395456664477046e-23,15.125978374999999,0.0025174334661569446,1.1959282267688057e-09,0.0,0.0,0.0,0.0,21.458109500000003,0.002517434125766158,2.5952001648196527e-10,0.0,0.0,0.0,0.0
54,12.735619274375,0.0026485031334450466,1.6041025454254587e-05,0.0,0.0,1.7498865714649662e-21,4.891690231784374e-21,12.74098128875,0.0027604257673956452,3.3903482482295284e-05,0.0,0.0,7.152490581807381e-22,1.7478799541734865e-21,12.893726756875001,0.00404506632545963,4.9862927136845864e-05,0.0,0.0,1.404821470823579e-22,4.2282372743145534e-22,14.4558058375,0.0025174325647531076,5.357016406090315e-09,0.0,0.0,0.0,0.0,20.8077229375,0.0025174357081996276,3.521957158712518e-10,0.0,0.0,0.0,0.0
55,12.09162576,0.0026517819184809924,1.7130518436009536e-05,0.0,0.0,2.4989388425706463e-20,6.988870368083816e-20,12.09685973,0.0027689137123525142,3.799628819841217e-05,0.0,0.0,1.020070294944724e-20,2.4952151747440884e-20,12.248305748125,0.004074382578488439,4.84040352054009e-05,0.0,0.0,2.0131374169936584e-21,6.059425269344656e-21,13.808525616875,0.00251743360015098,1.2664525733613297e-08,0.0,0.0,0.0,0.0,20.17608375,0.0025174351872410627,8.620583744020071e-10,0.0,0.0,0.0,0.0
56,11.471245484374998,0.002655751909362152,1.7916629197148694e-05,0.0,0.0,3.547739819284215e-19,9.926297460473323e-19,11.4763469,0.002779855487518944,4.2465276840987865e-05,0.0,0.0,1.4463852956675052e-19,3.541282726236391e-19,11.62627908875,0.004099430081900209,4.522730080596425e-05,0.0,0.0,2.8708727458720326e-20,8.641597488648051e-20,13.183625757500002,0.002517417527618818,3.616773048551649e-08,0.0,0.0,0.0,0.0,19.562683613125,0.0025174323563696816,2.1723019165396015e-09,0.0,0.0,0.0,0.0
57,10.87395640625,0.0026608570234384387,1.824801851336729e-05,0.0,0.0,4.997854291872614e-18,1.3988800062377972e-17,10.878917626249999,0.002794645858812146,4.741455652349735e-05,0.0,0.0,2.0351857149194655e-18,4.9871215693597674e-18,11.027129435625,0.004118996439501643,4.306782161164868e-05,0.0,0.0,4.0678414216209806e-19,1.2245381264404223e-18,12.580598841250001,0.002517404643120244,5.907717646820613e-08,0.0,0.0,0.0,0.0,18.96702725,0.002517438030685298,4.095373663419733e-09,0.0,0.0,0.0,0.0
58,10.2992422690625,0.0026685597873292864,1.9132876957360227e-05,0.0,0.0,6.96897333011274e-17,1.951206338418026e-16,10.30405078125,0.0028164829277666286,5.397172404742058e-05,0.0,0.0,2.834641930646306e-17,6.951495852865971e-17,10.450328611875,0.00413796190591529,4.239091827660464e-05,0.0,0.0,5.714734434316528e-18,1.7204426140740163e-17,11.998943798750002,0.002517372110276483,7.779668321502129e-08,0.0,0.0,0.0,0.0,18.388632861250002,0.002517435311805457,7.311069229183225e-09,0.0,0.0,0.0,0.0
59,9.746602305,0.002682531037949957,2.1874973953958008e-05,0.0,0.0,9.586322831541987e-16,2.6847418480309475e-15,9.7512303228125,0.0028536849719239398,6.487336971590824e-05,0.0,0.0,3.894879105172606e-16,9.558112698237464e-16,9.8953370359375,0.004166845865547657,4.7999978701369214e-05,0.0,0.0,7.936733638151897e-17,2.389600781716837e-16,11.438179483125,0.0025175004481570794,1.231571076237228e-07,0.0,0.0,0.0,0.0,17.827031599375,0.002517427117796615,1.1519485496652479e-08,0.0,0.0,0.0,0.0
60,9.215578118437499,0.002716851834440604,2.6426608717530938e-05,0.0,0.0,1.2949891490885537e-14,3.627383448904324e-14,9.219972238125,0.0029322175881825387,8.434791315719793e-05,0.0,0.0,5.254943677890855e-15,1.2903112347740237e-14,9.3616505996875,0.004225566360168159,6.264407298520607e-05,0.0,0.0,1.085456759811629e-15,3.268310196292553e-15,10.897855190000001,0.0025181439225561916,1.4623504051606424e-07,0.0,0.0,0.0,0.0,17.281765821249998,0.0025174302785890175,2.393003422091081e-08,0.0,0.0,0.0,0.0
61,8.705914209374999,0.002822229445213452,4.0697115917532775e-05,0.0,0.0,1.7087854912084958e-13,4.786788125218666e-13,8.709961271875,0.003137271378771402,0.00012940992472548686,0.0,0.0,6.922628854055228e-14,1.7006050278826463e-13,8.8489135821875,0.004365066673839465,8.218423864544474e-05,0.0,0.0,1.454519176244796e-14,4.379127600192429e-14,10.377544511875,0.0025192742386134343,1.6505244722732275e-07,0.0,0.0,0.0,0.0,16.75238990875,0.002517441265867092,4.214904644732938e-08,0.0,0.0,0.0,0.0
62,8.2177330121875,0.003151738780201413,8.239888939788201e-05,0.0,0.0,2.19043452135288e-12,6.136154843105744e-12,8.2212895415625,0.003686939213774167,0.0002165661814157155,0.0,0.0,8.849600733569773e-13,2.175034496433216e-12,8.3570539646875,0.00471592592052184,9.779601528977172e-05,0.0,0.0,1.898298294611785e-13,5.713228903154099e-13,9.87681552875,0.002520759008475579,2.2309762707401819e-07,0.0,0.0,0.0,0.0,16.238471421874998,0.002517403993057087,3.236818605297619e-08,0.0,0.0,0.0,0.0
63,7.75118928875,0.004020314091001637,0.0001207001487023815,0.0,0.0,2.7068772165369427e-11,7.584128860225827e-11,7.7542780753125,0.004929237422533333,0.0002978925134482167,0.0,0.0,1.0879585936237024e-11,2.675429491194826e-11,7.8863300940625,0.0056743425168097016,8.597181681696356e-05,0.0,0.0,2.3983703324697804e-12,7.2158577729719416e-12,9.395174156875001,0.0025220408124150707,3.111798839889425e-07,0.0,0.0,0.0,0.0,15.739588021875,0.0025173782932106405,3.2497668957747364e-08,0.0,0.0,0.0,0.0
64,7.3056888190625004,0.0054950362818781285,0.00020352962187277613,0.0,0.0,3.153112800799292e-10,8.833542391529093e-10,7.308638896874999,0.006366639423649758,0.0003049686975080751,0.0,0.0,1.2554451100286038e-10,3.08835348522936e-10,7.4370587796875,0.007554472161689773,0.00015297504073646674,0.0,0.0,2.908799873015844e-11,8.754657618073824e-11,8.9320969353125,0.00252316460153088,2.6116270911486606e-07,0.0,0.0,0.0,0.0,15.255328339375,0.002517482538940385,2.0077977549711547e-08,0.0,0.0,0.0,0.0
65,6.879932985625,0.006871020429302007,0.00025500863915716625,0.0,0.0,3.255062546680949e-09,9.098984408147373e-09,6.8832180078125,0.0071773294999729845,0.00020387136021600915,0.0,0.0,1.2834104774680834e-09,3.1573740118345527e-09,7.0088714953125,0.009449814807623625,0.0001909729089348845,0.0,0.0,3.2897872215873354e-10,9.907922494112634e-10,8.4871936884375,0.002525944610941224,3.6944001673773135e-07,0.0,0.0,0.0,0.0,14.785289196875,0.0025175092520657925,9.505180380905233e-08,0.0,0.0,0.0,0.0
66,6.4727658209375,0.0073012327789328995,0.00019363788193662486,0.0,0.0,2.6294880419685625e-08,7.303326318651375e-08,6.4767671390625,0.007216439058072865,0.0002461175280420024,0.0,0.0,1.04808579742986e-08,2.573631116044499e-08,6.60049413375,0.01047327159671113,0.00011627878428444267,0.0,0.0,3.221817918156774e-09,9.688748100682815e-09,8.0603938471875,0.0025330839678645136,4.273270621883801e-07,0.0,0.0,0.0,0.0,14.32908245875,0.002517289708252065,8.201047395903517e-08,0.0,0.0,0.0,0.0
67,6.0836607559375,0.0067234167202841495,0.00013240446522519282,0.0,0.0,1.2420849034174765e-07,3.3257525063788787e-07,6.08847152125,0.006640605435241014,0.0002972491782586461,0.0,0.0,5.738411334012693e-08,1.40563586634339e-07,6.210656986875,0.010129534799139946,0.00020840633666904056,0.0,0.0,2.3368410439744678e-08,6.995841983273374e-08,7.6517919296875005,0.002545844420325011,1.1125515052656894e-06,0.0,0.0,0.0,0.0,13.886340481875001,0.0025169822010211646,7.900505667786165e-08,0.0,0.0,0.0,0.0
68,5.7123342646875,0.005701637349324301,0.00013310987114288067,0.0,0.0,1.9057870078484583e-07,4.982239969017513e-07,5.717775748125001,0.00571428511175327,0.0002892717915024922,0.0,0.0,1.4163334856719867e-07,3.5305842840807917e-07,5.838552066875,0.008670230909949169,0.0003280904086306373,0.0,0.0,8.22633259870038e-08,2.3600300486304855e-07,7.2609879596875,0.002560051717562601,1.0813062950988227e-06,0.0,0.0,0.0,0.0,13.456731609375,0.0025173015096224844,4.476465014419703e-08,0.0,0.0,0.0,0.0
69,5.358242123437501,0.004716301568318158,0.00014080866369613472,0.0,0.0,2.0019056618443791e-07,5.233794227632097e-07,5.3640677637500005,0.004855679361149669,0.00028959109910379777,0.0,0.0,1.4897908772743975e-07,3.7178732144226014e-07,5.483515189999999,0.007022781280102208,0.0003281987657770086,0.0,0.0,8.943382324062387e-08,2.5341211509017977e-07,6.887177054375,0.002573529887595214,1.4321611557220264e-06,0.0,0.0,0.0,0.0,13.040007811875,0.0025195216360734776,2.8126577489263236e-08,0.0,0.0,0.0,0.0
70,5.0206328271875,0.003981592341442592,0.000124893094522332,0.0,0.0,2.1032217939287755e-07,5.501115861785111e-07,5.0266581790625,0.0042078391870018095,0.00033135834308767515,0.0,0.0,1.563140472045212e-07,3.9122103131205044e-07,5.14481092953125,0.005735101054888218,0.00031170733755530753,0.0,0.0,9.371389435352752e-08,2.6577493690462916e-07,6.529444807187501,0.0025796440214617177,7.08241412601985e-07,0.0,0.0,0.0,0.0,12.636124554375,0.002525908378651366,3.823464720800667e-08,0.0,0.0,0.0,0.0
71,4.69875761765625,0.0035094550471985713,0.00010306770061284986,0.0,0.0,2.2099944453186644e-07,5.783834428270096e-07,4.70491148890625,0.003764280357514508,0.00032684945178855875,0.0,0.0,1.6407145205331692e-07,4.1184899524735276e-07,4.82171375671875,0.0049014145385008305,0.00027968515955627363,0.0,0.0,9.818495741415418e-08,2.7874060586102555e-07,6.1867492140625,0.0025808879950782286,2.4834694468671164e-07,0.0,0.0,0.0,0.0,12.24517925125,0.0025354348552646113,3.679414496429113e-08,0.0,0.0,0.0,0.0
72,4.39200974,0.0031987410833826287,9.88529513794252e-05,0.0,0.0,2.323208068119907e-07,6.083399381756572e-07,4.3982816565625,0.003428942340076901,0.00028176461819055224,0.0,0.0,1.723487767313392e-07,4.33841801062043e-07,4.513605814687501,0.004338882306474261,0.00031036444372071673,0.0,0.0,1.0290536265014813e-07,2.924335103087871e-07,5.858416661562501,0.002581757116946392,4.321068746464921e-07,0.0,0.0,0.0,0.0,11.867041375,0.002544046936556697,2.5927332321472672e-08,0.0,0.0,0.0,0.0
73,4.0998968421874995,0.002970480855088681,0.00010693366694498948,0.0,0.0,2.4441969112032723e-07,6.402729707305098e-07,4.10628442484375,0.0031294324699556457,0.00022555129461157707,0.0,0.0,1.8121545816913315e-07,4.573695240478901e-07,4.2199717460937505,0.003914504891494289,0.000335044614243408,0.0,0.0,1.0795373754852082e-07,3.070609506495855e-07,5.544084531875,0.0025820528415497392,4.3001561535744437e-07,0.0,0.0,0.0,0.0,11.501231875,0.002551345853949897,2.6756657572709663e-08,0.0,0.0,0.0,0.0
74,3.8219794657812503,0.002770404763170518,0.00011610278212269527,0.0,0.0,2.5741374758354986e-07,6.744714595748362e-07,3.82847040875,0.0028621205548988657,0.00018837888787327081,0.0,0.0,1.9070848241526282e-07,4.825843682080392e-07,3.9403553453125,0.0035367092333035543,0.0003301947538595207,0.0,0.0,1.1337299666946339e-07,3.2274349195968526e-07,5.2433660096875,0.00258157862117514,2.917234284519601e-07,0.0,0.0,0.0,0.0,11.147149561874999,0.0025609082815935837,5.7102430786677445e-08,0.0,0.0,0.0,0.0
75,3.5578298040625,0.002563786549028009,0.00013682556279704647,0.0,0.0,2.7138403520743023e-07,7.111792125339305e-07,3.5644081995312504,0.002627661662234459,0.00016811286624136826,0.0,0.0,2.0086823798173848e-07,5.096344770352615e-07,3.6743267481250004,0.0031794076608493925,0.00030454392417677374,0.0,0.0,1.1917745718603688e-07,3.39521000852708e-07,4.9558319778125,0.0025808995297411457,1.61337079776143e-07,0.0,0.0,0.0,0.0,10.804240125,0.002573168323142454,1.389772789842186e-07,0.0,0.0,0.0,0.0
76,3.3070228212500004,0.002352922691148706,0.00016452868289168815,0.0,0.0,2.8641571509502525e-07,7.506199850081633e-07,3.3136767634375,0.0024230930012417956,0.00015698338380899316,0.0,0.0,2.1175011987145458e-07,5.38669168932129e-07,3.4214719321875,0.0028654261872870846,0.00027248362718361446,0.0,0.0,1.253861269392136e-07,3.575153776311928e-07,4.68106807109375,0.0025807644446613266,1.615404753533963e-07,0.0,0.0,0.0,0.0,10.472033406249999,0.0025818620724603536,1.9388134363276176e-07,0.0,0.0,0.0,0.0
77,3.0691392253125,0.002160427490249276,0.00018156864588709674,0.0,0.0,3.0259143523745095e-07,7.930317154537026e-07,3.0758594834374997,0.0022438321977388113,0.0001567252501414231,0.0,0.0,2.234171030502839e-07,5.698405596187248e-07,3.18137878,0.0026153582837432623,0.00021763040865141448,0.0,0.0,1.3203405091004592e-07,3.768503504775929e-07,4.41864749671875,0.002580897788866423,2.355885206109351e-07,0.0,0.0,0.0,0.0,10.150107125,0.002583235858590342,1.6511623607174098e-07,0.0,0.0,0.0,0.0
78,2.8437682359375,0.0019897274573449975,0.0001932642522236888,0.0,0.0,3.200194438961983e-07,8.386948600393083e-07,2.85054262703125,0.0020760898501612246,0.00016229136615422284,0.0,0.0,2.3594855552072583e-07,6.03357426688135e-07,2.9536391590625,0.0024204967462574133,0.00017472714686280472,0.0,0.0,1.3916438946832324e-07,3.976728941189979e-07,4.16808520421875,0.0025809412627713756,3.0012247915460687e-07,0.0,0.0,0.0,0.0,9.83806193625,0.0025818818811094387,1.1188381794018984e-07,0.0,0.0,0.0,0.0
79,2.63050616234375,0.0018337292320211418,0.00019327309399066705,0.0,0.0,3.388008713129862e-07,8.878542904552197e-07,2.63731619109375,0.0019100755759282038,0.00016780899981094525,0.0,0.0,2.4942744528713064e-07,6.394811924356018e-07,2.7378459334375,0.0022488458114676177,0.00016052616959906678,0.0,0.0,1.4681908003172799e-07,4.2011969066303523e-07,3.92899118640625,0.002581308284774423,3.413590690895494e-07,0.0,0.0,0.0,0.0,9.535523843750001,0.0025800381968729197,5.600838495044124e-08,0.0,0.0,0.0,0.0
