level,-nu-0.01_pressure_bar,-nu-0.01_H2S_mean,-nu-0.01_H2S_std,-nu-0.01_NH4SH_s__mean,-nu-0.01_NH4SH_s__std,-nu-0.01_NH4SH_s_p__mean,-nu-0.01_NH4SH_s_p__std,-nu-0.1_pressure_bar,-nu-0.1_H2S_mean,-nu-0.1_H2S_std,-nu-0.1_NH4SH_s__mean,-nu-0.1_NH4SH_s__std,-nu-0.1_NH4SH_s_p__mean,-nu-0.1_NH4SH_s_p__std,-nu-1.0_pressure_bar,-nu-1.0_H2S_mean,-nu-1.0_H2S_std,-nu-1.0_NH4SH_s__mean,-nu-1.0_NH4SH_s__std,-nu-1.0_NH4SH_s_p__mean,-nu-1.0_NH4SH_s_p__std
40,24.4865276349625,0.00026932820200112475,3.576085565269484e-05,0.0,0.0,6.753436334287804e-10,6.053138423171545e-10,24.486394600587502,0.00026891318606343703,3.3208832048412135e-05,0.0,0.0,6.190225587001177e-10,5.501225867759325e-10,24.493295673575002,0.0003298527013232524,5.456066785866211e-05,0.0,0.0,8.938479897431409e-10,7.63806397896559e-10
41,23.4548793597875,0.00027072164281555163,3.696808219241247e-05,0.0,0.0,1.489997180590453e-09,1.2839771419946179e-09,23.454754417012502,0.00027063550959639544,3.441221678534907e-05,0.0,0.0,1.368810503193452e-09,1.1715234126369904e-09,23.461630759425,0.00033264182320570396,5.62645043196414e-05,0.0,0.0,1.9425608953707208e-09,1.613079723014829e-09
42,22.454657728175,0.00027227786629722685,3.833418791613169e-05,0.0,0.0,3.0877288676090917e-09,2.5704462921048357e-09,22.45454067325,0.00027258492979170113,3.5794091675710395e-05,0.0,0.0,2.8424814588555793e-09,2.3569538576885158e-09,22.461384547,0.00033572743983182593,5.818996402526106e-05,0.0,0.0,3.9598624903649725e-09,3.2065647983824074e-09
43,21.485281023324998,0.0002740159055803088,3.987637120038993e-05,0.0,0.0,6.013382196326557e-09,4.855615411884525e-09,21.48517155055,0.0002747938719686499,3.738621423800981e-05,0.0,0.0,5.546077792320525e-09,4.47721746604074e-09,21.491975408412504,0.00033913343138774506,6.035141628258222e-05,0.0,0.0,7.575460582510477e-09,5.997913999372514e-09
44,20.54617117836875,0.0002759471971023595,4.160510850154407e-05,0.0,0.0,1.1016427293250378e-08,8.65747090320347e-09,20.54606891213125,0.00027728324872463417,3.921351296318713e-05,0.0,0.0,1.0176711964191565e-08,8.030087138661745e-09,20.552825499825,0.00034285824995262373,6.274054640394726e-05,0.0,0.0,1.3613932952931465e-08,1.056041337324367e-08
45,19.63675388545,0.0002780687775709521,4.3517134389292775e-05,0.0,0.0,1.9011414711054553e-08,1.4582035672522452e-08,19.6366583356,0.00028005203465232624,4.128363798661201e-05,0.0,0.0,1.7585464492052282e-08,1.3606596576094716e-08,19.6433607652625,0.0003468619856724399,6.531520360669312e-05,0.0,0.0,2.301620141550942e-08,1.751942723878648e-08
46,18.756458558625,0.0002803557991809066,4.558557870400135e-05,0.0,0.0,3.0963369094729186e-08,2.3235492319469065e-08,18.756369215299998,0.00028306775397672027,4.35755866693158e-05,0.0,0.0,2.866928593164064e-08,2.1808839019549903e-08,18.76301105396875,0.00035105718457365584,6.799420143791434e-05,0.0,0.0,3.667825323944218e-08,2.743197167809963e-08
47,17.9047184904,0.00028275828748883214,4.7755283077819146e-05,0.0,0.0,4.7703639477950645e-08,3.5097760124383424e-08,17.90463478429375,0.00028626087491589715,4.603121137055669e-05,0.0,0.0,4.419699430795676e-08,3.312711460834533e-08,17.9112102193875,0.00035530714397835253,7.0657808844431e-05,0.0,0.0,5.523127967946739e-08,4.0638769620898364e-08
48,17.08097088943125,0.00028520012596971355,4.993989203521237e-05,0.0,0.0,6.971564033610767e-08,5.038959623190862e-08,17.08089233070625,0.00028952436942105125,4.855423600113751e-05,0.0,0.0,6.46070085237882e-08,4.7806528185556915e-08,17.087396156281248,0.0003594354587802081,7.315808487494387e-05,0.0,0.0,7.882513827986104e-08,5.71369488675898e-08
49,16.284656973525,0.0002875837597199279,5.202800884173039e-05,0.0,0.0,9.695587410581075e-08,6.89777875465565e-08,16.2845830434125,0.0002927239163201011,5.101899054280133e-05,0.0,0.0,8.983950747713632e-08,6.574718879169633e-08,16.29101102723125,0.00036324494844462604,7.5335689872227e-05,0.0,0.0,1.0699432602304659e-07,7.652475656597706e-08
