level,2D-F10-kappa-0.01_pressure_bar,2D-F10-kappa-0.01_rms_vel1,2D-F10-kappa-0.01_rms_vel1_temporal_std,2D-F100-kappa-0.01_pressure_bar,2D-F100-kappa-0.01_rms_vel1,2D-F100-kappa-0.01_rms_vel1_temporal_std,3D-F10-kappa-0.01_pressure_bar,3D-F10-kappa-0.01_rms_vel1,3D-F10-kappa-0.01_rms_vel1_temporal_std,3D-F100-kappa-0.01_pressure_bar,3D-F100-kappa-0.01_rms_vel1,3D-F100-kappa-0.01_rms_vel1_temporal_std
41,23.50270830125,0.46160242330551454,0.11940481579128807,23.440686175000003,1.529382400000338,0.5361323214581216,23.472024610625,0.6779557028085185,0.15265188177855746,23.4548793597875,1.3126819600720798,0.14588454990764735
42,22.502108215,0.4541207118867209,0.1184889901170794,22.44084017125,1.5248376479015249,0.5273084357643996,22.471535874837503,0.6780242472167989,0.15333274526233695,22.454657728175,1.3150273401726895,0.14582326196265405
43,21.532312835,0.4450976646714287,0.1171167251764005,21.47183040625,1.5171808845554557,0.5179080891697848,21.501885273150002,0.6766907547001187,0.15367081350789322,21.485281023324998,1.3148111464954528,0.14556452780488177
44,20.59274642375,0.4344516344580741,0.11535027383188254,20.533080249375,1.5060676687970835,0.5077655620371363,20.56249511990625,0.6738300144763062,0.1536481042270855,20.54617117836875,1.3117790269039262,0.14507642170422458
45,19.682837071875,0.4220781754411851,0.11311490846517526,19.624014785625,1.491026669681264,0.4968803499443955,19.65279141299375,0.6693039648743888,0.1532442346637696,19.63675388545,1.305703850193502,0.14437365138378366
46,18.802015493125,0.4079283772157632,0.1103816410390541,18.74406608125,1.4718243461923113,0.4851078865116292,18.7722039288,0.6629261071708906,0.15241777492833067,18.756458558625,1.296378537153586,0.1434792099752936
47,17.94971718375,0.39192419182038873,0.1071578807298405,17.892667576875,1.4482201850341572,0.47196440047776567,17.92016626653125,0.6544725410752872,0.15110008963530144,17.9047184904,1.2835568941187023,0.14237840624029058
48,17.125381216875,0.37402209555688903,0.1034384668142978,17.069255786875,1.4197912182756183,0.45708870321851786,17.09611592146875,0.6437471047526819,0.14922895019092455,17.08097088943125,1.266966074160249,0.14102061595336263
49,16.328449789375,0.35423579838258007,0.09916143599888631,16.273271490625,1.3863589070832718,0.4408320043825238,16.29949423194375,0.6305515376694345,0.14676443873821576,16.284656973525,1.2463142741234334,0.13936948745081099
50,15.558369201249999,0.33257290232407744,0.09433582938683108,15.504160099375001,1.3477795031483486,0.4234556250619397,15.529746543575,0.6146626265326756,0.14367836834107187,15.51522194365,1.2212455546354473,0.1374157829165334
51,14.81459032125,0.3090864625419509,0.08894367956276411,14.76136981375,1.3034097981279014,0.4045308203963394,14.786322182531249,0.5958408646381356,0.1399229748252439,14.772115096981251,1.1913491156592309,0.13513034129708726
52,14.096566244375,0.2836040493642657,0.08281559656774878,14.044353818125,1.2517994464539306,0.38332334189257605,14.06867449935,0.5738432072077343,0.13544263173242213,14.054789833856251,1.156113571696988,0.13243156584550292
53,13.40375519375,0.25590262220781196,0.0757819748517031,13.35256786,1.1912879938226002,0.3592101594644826,13.37626092488125,0.5484023320824271,0.13016625313789004,13.3627039138625,1.114900927756769,0.12925250404638472
54,12.735619274375,0.226156824024756,0.06788747718944951,12.6854709775,1.120962265543579,0.3320136444298577,12.708543018050001,0.5191963847913368,0.12401282740509174,12.6953196539,1.0669714832386863,0.1255508515265499
55,12.09162576,0.1945578947896056,0.05918601829098539,12.042527353125001,1.0408597509074768,0.30190039828832416,12.0649865845375,0.4858368057328852,0.11692494698586776,12.05210440166875,1.0114906983051954,0.12129987249690269
56,11.471245484374998,0.16126917855875564,0.04969228219539417,11.423204781875,0.9501793031869411,0.26869812228698253,11.445061812475,0.44776800666307837,0.10885424900802916,11.43253238388125,0.9474104163655375,0.11641145662598774
57,10.87395640625,0.12673444175995874,0.03938562106438994,10.826971908125,0.8480633218108921,0.23227344206932887,10.84824277090625,0.4041785731526702,0.09968657422829345,10.836083076724998,0.8733696905648057,0.11067032519768591
58,10.2992422690625,0.09195102199657879,0.02847180254040358,10.25330550375,0.7335275675514268,0.19253838313584407,10.274006894846876,0.35393647752947804,0.08924556723638226,10.262239877296874,0.7874787473895453,0.10380929766531609
59,9.746602305,0.059040128527912614,0.017552509400637566,9.701668794062499,0.6037524864986284,0.14979904133746522,9.721834161581251,0.29547169734520445,0.07731764546423225,9.710482985471875,0.687229956151205,0.09563586309316201
60,9.215578118437499,0.03257785557523792,0.009731406543993546,9.171533711875,0.4557651111297031,0.10499949797403782,9.19121918725,0.2270378070160694,0.06347288559046868,9.18030102474375,0.5696132886323326,0.08575141192633326
61,8.705914209374999,0.017778662491131962,0.006886604408016096,8.662336561875,0.2982574760073321,0.06186482301101155,8.681709074365624,0.15048007231889776,0.0472800199738335,8.671191920178126,0.43620249503675435,0.07397116513771185
62,8.2177330121875,0.011082112374892785,0.003559420387200516,8.1738063775,0.17092355998507214,0.035271398365230126,8.19302073476875,0.08165791808873275,0.02940137406435507,8.1827776902125,0.30390481216882764,0.06038184116129079
63,7.75118928875,0.010832649581742567,0.003745768171308047,7.7062161125,0.11885022463624978,0.03225933322202094,7.725021874315624,0.04299334615052836,0.014758601586938112,7.714800172784375,0.20056164907581042,0.04578551455228226
64,7.3056888190625004,0.014695520770762381,0.004476045944369956,7.259376331874999,0.10714288361962648,0.03266226391058001,7.277107557959375,0.031079672867345753,0.008891730573084152,7.266784075646876,0.13877662022304263,0.03299842404560745
65,6.879932985625,0.02071879357266068,0.005291772276375324,6.832243220625,0.10770108107366815,0.03291410679438546,6.848314649303124,0.029059253590982756,0.007878541902780745,6.83805972301875,0.11032241390722536,0.024666660345437928
66,6.4727658209375,0.030167962193236687,0.009787968747092332,6.4238038925000005,0.11407966704850162,0.0333399407840318,6.438047367425,0.02818543623981848,0.008322409595410734,6.42803038041875,0.1005434328052453,0.020594610544240187
67,6.0836607559375,0.03612322131017036,0.01298422243117786,6.033417850625001,0.12093673796358348,0.03417951292717902,6.04604580196875,0.026963824690110563,0.009133905169309816,6.036194050840625,0.09982214879855239,0.019239067585977036
68,5.7123342646875,0.03564262787664502,0.014580970467968555,5.660571935,0.12860156627481564,0.035997480683195276,5.67200353108125,0.026615926984106024,0.00998787590676299,5.6620512081,0.10396293577746099,0.019459362191728894
69,5.358242123437501,0.04014729286661402,0.01714300946074009,5.304752993125001,0.13993599158185294,0.03924534586310351,5.315333664840625,0.028077044777733273,0.011220124677063074,5.305084264203125,0.11208834882151676,0.02078661103251509
70,5.0206328271875,0.05784879102376583,0.02363046174383916,4.96544173484375,0.1574642997517009,0.045263969532304285,4.975304351623437,0.031445916011270086,0.01314183061764066,4.9647547962734375,0.1246068165017187,0.022965503310732386
71,4.69875761765625,0.08098202831587827,0.031834134504086335,4.6421085956249994,0.18358136085167542,0.05674143427924136,4.6512546837890625,0.03622959506353492,0.01558195785271147,4.64051177204375,0.14202055549629977,0.02575943702808817
72,4.39200974,0.10387175646801336,0.03985039668904359,4.334234725781251,0.2208576594684061,0.07392077786862374,4.342638660451563,0.04154149716749856,0.018140995923809487,4.331813163878125,0.16463267438837978,0.029281096454789837
73,4.0998968421874995,0.12453383903095348,0.04861233685017154,4.041312438125,0.269358010935534,0.0957697974620712,4.048974019882812,0.046723336487496055,0.020597350135171926,4.038146379310938,0.19218164119801315,0.03384713183116575
74,3.8219794657812503,0.1421134925481899,0.058659205484687504,3.76285888734375,0.3269262050630787,0.12115250700757067,3.7698050786609376,0.05153406898586741,0.02295039834382663,3.7590315212109378,0.22400971500006275,0.03965036190087169
75,3.5578298040625,0.1566386614650879,0.06991846495006185,3.49841418828125,0.39162381336515156,0.14904903227536995,3.5046932347046873,0.056020517090770015,0.025209933291288917,3.4940098680515623,0.2595550226096958,0.04683001853274391
76,3.3070228212500004,0.16838099866461242,0.08094734860972116,3.24753297578125,0.46174833112684777,0.17855042568948842,3.253212143096875,0.06053350379126166,0.02744285881073137,3.242636483676563,0.2985535945596151,0.055489095877276094
77,3.0691392253125,0.17719863240657704,0.0895690387418732,3.0097805271875004,0.5344888264658885,0.20832956006406445,3.0149405182734377,0.06577228896882086,0.02978368708421248,3.0044752349,0.34111089878326234,0.06568896894962982
78,2.8437682359375,0.18298239432275498,0.09516796310314098,2.7847321026562497,0.6072608250968281,0.23681512628072898,2.7894563918796873,0.07279453639471677,0.032218017440264944,2.7790967736843752,0.38767778823643967,0.0773893102978226
79,2.63050616234375,0.18641623716164446,0.09846710046971247,2.57196899484375,0.678444131468806,0.26284149275261376,2.576335711372656,0.08290172923667344,0.034333432753128584,2.566077485767969,0.43888334691776115,0.09036626621958747
80,2.4289517125,0.18890829966966657,0.09902139883677856,2.37107852421875,0.746761711571679,0.28512811760361406,2.3751524061484375,0.09717517360437676,0.0353881234496418,2.36500086353125,0.4950589221941727,0.10422351500384863
81,2.2387025828125,0.19160095798119342,0.09696582609521835,2.181654120546875,0.8129112599657539,0.30501285170091585,2.1854789315617187,0.11595514940453477,0.03524300677989773,2.175456777874219,0.5557135816387689,0.11833663527845756
82,2.059362532890625,0.19617006236514528,0.09634821961641012,2.0032936483593753,0.877532250017046,0.32386103192117066,2.0068913186382815,0.13816312585846216,0.03464173270397516,1.9970354991820312,0.6195581317690361,0.13186837391271383
83,1.89054259640625,0.20430955199857828,0.10027786133443393,1.835600327421875,0.9404706401719182,0.34178810520064024,1.8389779308585936,0.16185944832519267,0.03436511313960185,1.829329424103125,0.6852910541729264,0.14419190517700484
84,1.73186201515625,0.21613032598138848,0.10828533618006686,1.6781824575781248,1.0017463994387172,0.35889086873872195,1.6813413788523437,0.18539631458334346,0.03476574924641114,1.671938426825,0.7520543348423008,0.15504237789882686
85,1.5829447121875,0.23106653938426117,0.11865832428552729,1.53065332640625,1.0612980213494179,0.3751587529600997,1.5335941391726562,0.2076976571620484,0.03587914496725905,1.524470215453125,0.8192780653681052,0.1643352876219953
86,1.44341957203125,0.24723603190881066,0.12990559448046973,1.392630221015625,1.1192899506556786,0.39001474940208447,1.3953558577304688,0.2281637191115622,0.03757935687650159,1.3865386533835937,0.8862937922769413,0.17185669701194328
87,1.3129211649218748,0.2627713544158603,0.14086546898637634,1.263735805,1.1747220735779926,0.40244202655013595,1.2662515783203125,0.24658515214953525,0.039698711183461306,1.2577631828949218,0.9521384284348212,0.17730258160903775
88,1.1910869308984375,0.2772376030327147,0.14976139348032105,1.1435978341796875,1.226364150216759,0.4118731453204753,1.1459109694007812,0.26291713646640275,0.04213958085715991,1.1377684990421875,1.0156009631834069,0.1804000932676582
89,1.0775574319531251,0.2904489837749999,0.15370067741722482,1.03184908234375,1.2732227265441591,0.41704048727578513,1.0339686764972658,0.27708688597508246,0.04482952287526196,1.0261850179664063,1.0751086378192851,0.18090336856250672
90,0.9719779505859375,0.3010682964159836,0.15131570932303037,0.92812743078125,1.3134991279880774,0.4179875659501046,0.9300644389921875,0.28904319962307284,0.04768857776944661,0.9226479134332031,1.1286209458818866,0.17859026851516466
91,0.874001283671875,0.3079660974831996,0.14437881533483765,0.83207758703125,1.3436128044493083,0.41541455535704813,0.8338428776558593,0.2988063270405878,0.050579422025714936,0.8267989549218749,1.1735345182998662,0.1730045043742319
92,0.7832886691796875,0.3111998628451527,0.13512910703003067,0.743347960625,1.3593060894013151,0.40865307949480767,0.7449541233558593,0.3062758373653519,0.05319173748764819,0.7382839764625,1.2065835463571513,0.16358841079503736
93,0.6995076755859375,0.3106445171737028,0.12435841549449979,0.6616044206640624,1.3534493970517623,0.39565544010162434,0.6630541286816406,0.3109214948790516,0.05490733317577622,0.6567637852748047,1.220959656341643,0.15042924493160917
94,0.6223322668945312,0.30440244189426835,0.11188562008387314,0.5865163178515624,1.3123983645938309,0.3740088241889312,0.5878065956892579,0.31050896234775494,0.05500446551598505,0.5819032473216796,1.2044781291317437,0.13427269309636508
95,0.5514398650976562,0.28794115901949524,0.09705303230558332,0.5177336373828125,1.219479838135061,0.3413566360072703,0.5188734116261718,0.29815718186794293,0.05258432313819875,0.5133530775011719,1.1392071872277327,0.11576006601739651
96,0.48651125083984376,0.25273945156462585,0.07850591311435477,0.45491438769531245,1.0597990530921242,0.2952163198095615,0.45591690526894535,0.2629313120953882,0.04688421487385092,0.45077130730253906,1.0051418537705543,0.09485465364587728
97,0.427231345859375,0.18834769809672622,0.054133168375952466,0.39773781660156254,0.8231705544485058,0.2335112106082381,0.3986104717072265,0.19458347693353317,0.03811919466672352,0.3938340798525391,0.7829252895157598,0.07130625619539134
98,0.3733054843945312,0.09752728225196826,0.026023656534917304,0.34589308755859377,0.5171093177641511,0.15792788662914034,0.34666262460449215,0.10142880355375077,0.0268786377738494,0.34223420259746096,0.47346547514290815,0.046888631488439865
99,0.3245820644042969,0.026480175547125385,0.006652594255536525,0.2991428585839844,0.18054253467663148,0.05838768318282191,0.29994298614326176,0.027683559090255244,0.01100745441644622,0.29577347999541015,0.15431461466680813,0.019062756071746078
