level,-nu-0.01_pressure_bar,-nu-0.01_H2O_mean,-nu-0.01_H2O_std,-nu-0.01_H2O_l__mean,-nu-0.01_H2O_l__std,-nu-0.01_H2O_l_p__mean,-nu-0.01_H2O_l_p__std,-nu-0.1_pressure_bar,-nu-0.1_H2O_mean,-nu-0.1_H2O_std,-nu-0.1_H2O_l__mean,-nu-0.1_H2O_l__std,-nu-0.1_H2O_l_p__mean,-nu-0.1_H2O_l_p__std,-nu-1.0_pressure_bar,-nu-1.0_H2O_mean,-nu-1.0_H2O_std,-nu-1.0_H2O_l__mean,-nu-1.0_H2O_l__std,-nu-1.0_H2O_l_p__mean,-nu-1.0_H2O_l_p__std,-nu-10.0_pressure_bar,-nu-10.0_H2O_mean,-nu-10.0_H2O_std,-nu-10.0_H2O_l__mean,-nu-10.0_H2O_l__std,-nu-10.0_H2O_l_p__mean,-nu-10.0_H2O_l_p__std,-nu-100.0_pressure_bar,-nu-100.0_H2O_mean,-nu-100.0_H2O_std,-nu-100.0_H2O_l__mean,-nu-100.0_H2O_l__std,-nu-100.0_H2O_l_p__mean,-nu-100.0_H2O_l_p__std
46,18.802015493125,0.025007161115296186,1.9004803597880835e-05,0.0,0.0,4.9616286089681074e-27,6.92757088439605e-26,18.808264445625,0.025114090100862085,2.3793619248325056e-05,0.0,0.0,1.8581363217742006e-26,1.187583999310749e-25,18.963200895625,0.025227121748030185,1.3224420866772777e-05,0.0,0.0,2.1747691647058598e-27,8.003877731571574e-27,20.502210090625,0.024964531883597374,0.0,0.0,0.0,0.0,0.0,26.58143525,0.024964550510048866,0.0,0.0,0.0,0.0,0.0
47,17.94971718375,0.02500547593459487,1.974013255421935e-05,0.0,0.0,7.201868056820586e-26,1.0063904667522135e-24,17.95586832,0.02511156816035509,2.5796849716274087e-05,0.0,0.0,2.6944913504588915e-25,1.7221963906243285e-24,18.11130292125,0.025321109171956777,2.0931203573188885e-05,0.0,0.0,3.1587684948238763e-26,1.1623759174972119e-25,19.65704842625,0.024964531883597374,0.0,0.0,0.0,0.0,0.0,25.784375375,0.024964548647403717,0.0,0.0,0.0,0.0,0.0
48,17.125381216875,0.025003689793869854,2.054500819188549e-05,0.0,0.0,1.0446252459421924e-24,1.4609384224337746e-23,17.13143072125,0.025108643616549672,2.8315113569000547e-05,0.0,0.0,3.904422330194204e-24,2.4956502264670236e-23,17.287156855,0.02541238678712398,2.4903727210793857e-05,0.0,0.0,4.585364144186304e-25,1.687116612206217e-24,18.838496256875,0.024964531883597374,0.0,0.0,0.0,0.0,0.0,25.01002975,0.024964548647403717,0.0,0.0,0.0,0.0,0.0
49,16.328449789375,0.02500182768609375,2.1656004022619525e-05,0.0,0.0,1.5137071737076386e-23,2.1185821887476055e-22,16.3343939125,0.025105103011243045,3.140032642514267e-05,0.0,0.0,5.651958715298713e-23,3.6128425853467787e-22,16.490197265000003,0.0254956673104316,2.3611869924356388e-05,0.0,0.0,6.650919899642994e-24,2.4467923781754044e-23,18.046009375,0.024964531864970923,1.8533085232723882e-10,0.0,0.0,0.0,0.0,24.257785499999997,0.024964546784758568,0.0,0.0,0.0,0.0,0.0
50,15.558369201249999,0.02499986893404275,2.3279098122979328e-05,0.0,0.0,2.190414358104531e-22,3.0678858755553856e-21,15.564204281250001,0.025100771412253378,3.5338453665110686e-05,0.0,0.0,8.170491781562533e-22,5.2230217476891015e-21,15.719860824374999,0.025562595198862254,2.2920665626367766e-05,0.0,0.0,9.636373085575443e-23,3.544657839208297e-22,17.279047421875,0.024964530911296606,1.976086550628546e-09,0.0,0.0,0.0,0.0,23.527045375,0.024964549117721616,1.058178774923963e-09,0.0,0.0,0.0,0.0
51,14.81459032125,0.02499748155195266,2.5284869105322497e-05,0.0,0.0,3.1637631045752837e-21,4.434026978047982e-20,14.820312288750001,0.025095518082380294,4.0095718933786704e-05,0.0,0.0,1.1789608418259699e-20,7.536954923614639e-20,14.975590393125,0.025605168427340685,2.0998483152066072e-05,0.0,0.0,1.394139703881536e-21,5.127589997358182e-21,16.53707482,0.024964531292207538,9.235920619491833e-09,0.0,0.0,0.0,0.0,22.817226875,0.02496454173699021,2.8161691688303757e-09,0.0,0.0,0.0,0.0
52,14.096566244375,0.024994065871462225,2.780971174728537e-05,0.0,0.0,4.5581917643329753e-20,6.391988670701957e-19,14.102171844375,0.02508904549200088,4.520085164322298e-05,0.0,0.0,1.696961718333069e-19,1.0848977434756238e-18,14.25683763125,0.025630396660417318,1.530075260938164e-05,0.0,0.0,2.0129812773657508e-20,7.402768725017038e-20,15.819560601875,0.024964533602818847,4.085758184839105e-08,0.0,0.0,0.0,0.0,22.127765375,0.02496455384418368,7.521466283502203e-09,0.0,0.0,0.0,0.0
53,13.40375519375,0.024989422526210548,3.098332700847254e-05,0.0,0.0,6.544901476971573e-19,9.18249589199328e-18,13.409240750625,0.025080851553939285,5.060597165042137e-05,0.0,0.0,2.43437618012156e-18,1.5563991640939376e-17,13.5630615,0.025649581412784755,1.6959168633366356e-05,0.0,0.0,2.8987627096018017e-19,1.0658988912744902e-18,15.125978374999999,0.024964501282200218,1.4383030524342595e-07,0.0,0.0,0.0,0.0,21.458109500000003,0.024964538479223846,1.8163351782308653e-08,0.0,0.0,0.0,0.0
54,12.735619274375,0.024983638842590153,3.430391127270364e-05,0.0,0.0,9.354012050597204e-18,1.3129106763518486e-16,12.74098128875,0.025070245136506856,5.643486681243807e-05,0.0,0.0,3.4763379259142863e-17,2.222642996852644e-16,12.893726756875001,0.025666253849864006,2.2975623010130643e-05,0.0,0.0,4.159284603879979e-18,1.5292283620989102e-17,14.4558058375,0.024964426659978927,6.396093344901334e-07,0.0,0.0,0.0,0.0,20.8077229375,0.024964538525789975,3.737390153669091e-08,0.0,0.0,0.0,0.0
55,12.09162576,0.024976770871318877,3.758640419701905e-05,0.0,0.0,1.3283330333041906e-16,1.8650133793786802e-15,12.09685973,0.025056602937169374,6.249227293632183e-05,0.0,0.0,4.932878531055616e-16,3.1539465609041093e-15,12.248305748125,0.025678895054385066,1.9935016322816347e-05,0.0,0.0,5.938714691888904e-17,2.1832178535445672e-16,13.808525616875,0.024964638508856298,1.465531906312236e-06,0.0,0.0,0.0,0.0,20.17608375,0.024964571204036473,6.192618369830023e-08,0.0,0.0,0.0,0.0
